match_id,strategy,strategy_label,minuto,back_odds,won,pl,País,Liga,timestamp_utc
lanús-flamengo-apuestas-35073144,ud_leading,BACK Underdog Leading,76,6.4,True,5.13,Desconocido,Desconocida,
lanús-flamengo-apuestas-35073144,poss_extreme,BACK Over 0.5 Poss Extreme,30,1.33,True,0.31,Desconocido,Desconocida,
tottenham-newcastle-apuestas-35212115,away_fav_leading,BACK Away Fav Leading,62,1.31,True,0.29,Inglaterra,Premier League,2026-02-10 20:56:25
corinthians-red-bull-bragantino-apuestas-35207556,home_fav_leading,BACK Home Fav Leading,62,1.24,True,0.23,Brasil,Série A,2026-02-13 00:30:55
corinthians-red-bull-bragantino-apuestas-35207556,xg_underperformance_base,xG Underperformance (Base),62,1.65,True,0.62,Brasil,Série A,2026-02-13 00:30:55
corinthians-red-bull-bragantino-apuestas-35207556,cs_one_goal,BACK CS One-Goal,66,2.24,False,-1.0,Brasil,Série A,2026-02-13 00:33:45
corinthians-red-bull-bragantino-apuestas-35207556,over25_2goal,BACK O2.5 2-Goal Lead,76,2.0,False,-1.0,Brasil,Série A,2026-02-13 00:44:25
spartak-varna-lokomotiv-sofia-apuestas-35239864,ud_leading,BACK Underdog Leading,56,1.65,False,-1.0,Bulgaria,Liga A,2026-02-13 17:01:45
spartak-varna-lokomotiv-sofia-apuestas-35239864,draw_11,BACK Draw 1-1,68,1.9,True,0.85,Bulgaria,Liga A,2026-02-13 17:14:06
spartak-varna-lokomotiv-sofia-apuestas-35239864,under35_late,BACK U3.5 Late,77,1.24,False,-1.0,Bulgaria,Liga A,2026-02-13 17:23:18
spartak-varna-lokomotiv-sofia-apuestas-35239864,under35_3goals,BACK U3.5 3-Goal Lid,77,1.24,False,-1.0,Bulgaria,Liga A,2026-02-13 17:23:18
spartak-varna-lokomotiv-sofia-apuestas-35239864,under45_3goals,BACK U4.5 3-Goals Low xG,77,1.07,True,0.07,Bulgaria,Liga A,2026-02-13 17:23:18
fortuna-dusseldorf-preussen-munster-apuestas-35243,lay_over45_v3,LAY Over 4.5 V3,57,8.2,True,0.95,Alemania,Bundesliga,2026-02-13 18:47:18
liverpool-montevideo-defensor-sp-apuestas-35238332,poss_extreme,BACK Over 0.5 Poss Extreme,30,1.1,True,0.1,Inglaterra,Premier League,2026-02-14 01:02:11
america-de-cali-sa-santa-fe-apuestas-35238051,poss_extreme,BACK Over 0.5 Poss Extreme,30,1.11,True,0.1,Colombia,Liga Colombiana,2026-02-14 01:31:53
liverpool-montevideo-defensor-sp-apuestas-35238332,pressure_cooker,Pressure Cooker,55,2.26,True,1.2,Inglaterra,Premier League,2026-02-14 01:46:04
liverpool-montevideo-defensor-sp-apuestas-35238332,ud_leading,BACK Underdog Leading,61,9.2,True,7.79,Inglaterra,Premier League,2026-02-14 01:52:25
liverpool-montevideo-defensor-sp-apuestas-35238332,under35_3goals,BACK U3.5 3-Goal Lid,61,1.26,True,0.25,Inglaterra,Premier League,2026-02-14 01:52:25
liverpool-montevideo-defensor-sp-apuestas-35238332,under45_3goals,BACK U4.5 3-Goals Low xG,64,1.09,True,0.09,Inglaterra,Premier League,2026-02-14 01:54:00
liverpool-montevideo-defensor-sp-apuestas-35238332,under35_late,BACK U3.5 Late,66,1.26,True,0.25,Inglaterra,Premier League,2026-02-14 01:57:11
puebla-pumas-unam-apuestas-35216574,odds_drift_v1,Odds Drift Contrarian (V1),60,9.6,False,-1.0,México,Liga MX,2026-02-14 02:21:15
america-de-cali-sa-santa-fe-apuestas-35238051,cs_one_goal,BACK CS One-Goal,75,6.4,True,5.13,Colombia,Liga Colombiana,2026-02-14 02:42:05
america-de-cali-sa-santa-fe-apuestas-35238051,home_fav_leading,BACK Home Fav Leading,75,6.8,True,5.51,Colombia,Liga Colombiana,2026-02-14 02:42:05
america-de-cali-sa-santa-fe-apuestas-35238051,xg_underperformance_base,xG Underperformance (Base),92,1.44,False,-1.0,Colombia,Liga Colombiana,2026-02-14 02:58:18
