fecha,match_id,match_name,strategy,strategy_label,strategy_desc,minuto,mercado,score_bet,score_final,back_odds,won,pl,País,Liga,timestamp_utc
2026-02-12,thun-lausanne-apuestas-35244305,Thun Lausanne,cs_close,BACK CS Close,Back current Correct Score at close game (2-1 / 1-2),60,BACK CS 2-1,2-1,5-1,3.5,False,-1.0,Desconocido,Desconocida,2026-02-12 21:48:41
2026-02-12,thun-lausanne-apuestas-35244305,Thun Lausanne,home_fav_leading,BACK Home Fav Leading,Back home favourite when leading late,60,BACK HOME,2-1,5-1,1.33,True,0.31,Desconocido,Desconocida,2026-02-12 21:48:41
2026-02-12,thun-lausanne-apuestas-35244305,Thun Lausanne,under35_late,BACK U3.5 Late,Back Under 3.5 when exactly 3 goals scored and xG is low,61,BACK UNDER 3.5,2-1,5-1,3.4,False,-1.0,Desconocido,Desconocida,2026-02-12 21:49:48
2026-02-12,thun-lausanne-apuestas-35244305,Thun Lausanne,cs_big_lead,BACK CS Big Lead,Back current Correct Score at big lead (3-0/0-3/3-1/1-3),76,BACK CS 3-1,3-1,5-1,1.95,False,-1.0,Desconocido,Desconocida,2026-02-12 22:04:07
2026-02-12,brentford-arsenal-apuestas-35212180,Brentford Arsenal,cs_one_goal,BACK CS One-Goal,Back current Correct Score at 1-0 / 0-1,68,BACK CS 0-1,0-1,1-1,2.42,False,-1.0,Inglaterra,Premier League,2026-02-12 22:26:50
2026-02-12,brentford-arsenal-apuestas-35212180,Brentford Arsenal,draw_xg_conv,BACK Draw xG Convergence,Back Draw when xG converges in tied match,71,BACK DRAW,1-1,1-1,4.7,True,3.52,Inglaterra,Premier League,2026-02-12 22:30:14
2026-02-13,athletico-pr-santos-apuestas-35207628,Athletico Pr Santos,draw_11,BACK Draw 1-1,Back Draw when score is exactly 1-1 late,62,BACK DRAW,1-1,2-1,1.91,False,-1.0,Brasil,Série A,2026-02-13 00:30:32
2026-02-13,fluminense-botafogo-fr-apuestas-35248598,Fluminense Botafogo Fr,home_fav_leading,BACK Home Fav Leading,Back home favourite when leading late,62,BACK HOME,1-0,1-0,1.49,True,0.47,Brasil,Série A,2026-02-13 00:57:54
2026-02-13,fluminense-botafogo-fr-apuestas-35248598,Fluminense Botafogo Fr,cs_one_goal,BACK CS One-Goal,Back current Correct Score at 1-0 / 0-1,70,BACK CS 1-0,1-0,1-0,1.82,True,0.78,Brasil,Série A,2026-02-13 01:04:30
2026-02-13,corinthians-red-bull-bragantino-apuestas-35207556,Corinthians Red Bull Bragantino,cs_one_goal,BACK CS One-Goal,Back current Correct Score at 1-0 / 0-1,69,BACK CS 1-0,1-0,2-0,1.87,False,-1.0,Brasil,Série A,2026-02-13 01:36:24
