fecha,partido,liga,estrategia,tipo,minuto,odds,won,pl,pl_acum,ft_score,riesgo,xg_total,xg_excess,sot_max,drift_pct,match_id
2026-02-12 21:26,Brentford Arsenal 35212180,,xG Underperf,BACK,68.0,1.64,SI,+0.58,+0.58,,,,0.57,,,brentford-arsenal-apuestas-35212180
2026-02-12 21:36,Brentford Arsenal 35212180,,Pressure Cooker,BACK,71,2.02,NO,-1.00,-0.42,,,,,,,brentford-arsenal-apuestas-35212180
2026-02-12 23:37,Athletico Pr Santos 35207628,,Pressure Cooker,BACK,66,1.96,SI,+0.87,+0.45,,,,,,,athletico-pr-santos-apuestas-35207628
2026-02-13 00:12,Fluminense Botafogo Fr 35248598,,LAY Over 1.5,LAY,75,3.30,SI,+0.95,+1.40,,,1.86,,,,fluminense-botafogo-fr-apuestas-35248598
2026-02-13 00:32,Corinthians Red Bull Bragantino 35207556,,xG Underperf,BACK,64.0,1.69,SI,+0.63,+2.03,,,,1.24,,,corinthians-red-bull-bragantino-apuestas-35207556
2026-02-13 19:08,Fortuna Dusseldorf Preussen Munster 35243,,LAY Over 1.5,LAY,75,1.34,SI,+0.95,+2.98,,,1.98,,,,fortuna-dusseldorf-preussen-munster-apuestas-35243
2026-02-14 01:18,Liverpool Montevideo Defensor Sp 35238332,,Goal Clustering,BACK,43,2.26,SI,+1.15,+4.13,,,,,3,,liverpool-montevideo-defensor-sp-apuestas-35238332
2026-02-14 02:43,America De Cali Sa Santa Fe 35238051,,LAY Over 1.5,LAY,75,1.62,SI,+0.95,+5.08,,,1.71,,,,america-de-cali-sa-santa-fe-apuestas-35238051
2026-02-14 12:49,Braunschweig Darmstadt 35243475,,Goal Clustering,BACK,45,1.86,SI,+0.78,+5.86,,,,,4,,braunschweig-darmstadt-apuestas-35243475
2026-02-14 13:17,Reading Wycombe 35240945,,Goal Clustering,BACK,43,2.06,SI,+0.97,+6.83,,,,,3,,reading-wycombe-apuestas-35240945
2026-02-14 13:17,hertha-berlín-hannover-apuestas-35243477,,Goal Clustering,BACK,52,1.84,SI,+0.76,+7.59,,,,,4,,hertha-berlín-hannover-apuestas-35243477
2026-02-14 14:06,Stevenage Huddersfield 35240941,,LAY Over 1.5,LAY,76,1.83,SI,+0.95,+8.54,,,1.68,,,,stevenage-huddersfield-apuestas-35240941
2026-02-14 14:18,cska-1948-sofia-cska-sofía-apuestas-3523,,LAY Over 2.5 Def,LAY,71,2.58,SI,+0.95,+9.49,,,0,,,,cska-1948-sofia-cska-sofía-apuestas-35239870
2026-02-14 14:31,Espanyol Celta De Vigo 35216696,,Pressure Cooker,BACK,66,2.64,SI,+1.51,+11.00,,,,,,,espanyol-celta-de-vigo-apuestas-35216696
2026-02-14 15:41,Hoffenheim Friburgo 35217452,,Goal Clustering,BACK,45,1.75,SI,+0.68,+11.68,,,,,3,,hoffenheim-friburgo-apuestas-35217452
2026-02-14 21:22,Fc Groningen Utrecht 35216585,,xG Underperf,BACK,65.0,1.61,SI,+0.55,+12.23,,,,1.86,,,fc-groningen-utrecht-apuestas-35216585
2026-02-15 05:36,Kamatamare Sanuki Toyama 35265771,,Goal Clustering,BACK,28,3.80,SI,+2.58,+14.82,,,,,3,,kamatamare-sanuki-toyama-apuestas-35265771
2026-02-15 05:38,Tegevajaro Miyazaki Tottori 35265891,,Goal Clustering,BACK,30,1.97,SI,+0.88,+15.70,,,,,6,,tegevajaro-miyazaki-tottori-apuestas-35265891
2026-02-15 05:47,Tokushima Albirex Niigata 35265824,,Goal Clustering,BACK,40,2.60,SI,+1.47,+17.17,,,,,3,,tokushima-albirex-niigata-apuestas-35265824
2026-02-15 05:48,Renofa Yamaguchi Mio Biwako Shiga 3526582,,Goal Clustering,BACK,40,1.74,SI,+0.67,+17.85,,,,,3,,renofa-yamaguchi-mio-biwako-shiga-apuestas-3526582
2026-02-15 05:51,Fc Osaka Kochi Univ 35265821,,Goal Clustering,BACK,45,2.24,SI,+1.14,+18.99,,,,,3,,fc-osaka-kochi-univ-apuestas-35265821
2026-02-15 06:15,Ehime Kanazawa 35265809,,Goal Clustering,BACK,46,2.02,SI,+0.93,+19.92,,,,,3,,ehime-kanazawa-apuestas-35265809
2026-02-15 06:33,Tosu Kumamoto 35265823,,LAY Over 2.5 Def,LAY,70,2.36,SI,+0.95,+20.87,,,0,,,,tosu-kumamoto-apuestas-35265823
2026-02-15 09:44,Arema Cronus Semen Padang 35243387,,Goal Clustering,BACK,51,1.82,SI,+0.74,+21.61,,,,,3,,arema-cronus-semen-padang-apuestas-35243387
2026-02-15 11:28,Lokomotiv Plovdiv Cherno More Varna 35243,,LAY Over 2.5 Def,LAY,70,3.10,SI,+0.95,+22.56,,,0,,,,lokomotiv-plovdiv-cherno-more-varna-apuestas-35243
2026-02-15 13:24,Thun Sion 35258535,,Momentum xG V1,BACK,23,1.70,SI,+0.64,+23.20,,none,,,,,thun-sion-apuestas-35258535
2026-02-15 13:38,mirandés-las-palmas-apuestas-35247639,,Momentum xG V1,BACK,37,2.68,NO,-1.00,+22.20,,none,,,,,mirandés-las-palmas-apuestas-35247639
2026-02-15 14:20,Oviedo Athletic De Bilbao 35216603,,Goal Clustering,BACK,57,2.36,SI,+1.24,+23.44,,,,,3,,oviedo-athletic-de-bilbao-apuestas-35216603
2026-02-15 14:29,mirandés-las-palmas-apuestas-35247639,,LAY Over 2.5 Def,LAY,70,2.86,SI,+0.95,+24.39,,,0.92,,,,mirandés-las-palmas-apuestas-35247639
2026-02-15 14:31,Oviedo Athletic De Bilbao 35216603,,Pressure Cooker,BACK,67,2.36,SI,+1.24,+25.63,,,,,,,oviedo-athletic-de-bilbao-apuestas-35216603
2026-02-15 14:31,Olympiakos Nicosia Fc Omonia Fc Aradippou Apuestas,,LAY Over 2.5 Def,LAY,70,2.66,SI,+0.95,+26.58,,,0,,,,olympiakos-nicosia-fc-omonia-fc-aradippou-apuestas
2026-02-15 14:31,Thun Sion 35258535,,LAY Over 2.5 Def,LAY,71,1.68,SI,+0.95,+27.53,,,1.14,,,,thun-sion-apuestas-35258535
2026-02-15 14:33,Goztepe Kayserispor 35247853,,Momentum xG V1,BACK,29,1.94,NO,-1.00,+26.53,,none,,,,,goztepe-kayserispor-apuestas-35247853
2026-02-15 14:49,Parma Verona 35215939,,Goal Clustering,BACK,43,2.72,SI,+1.59,+28.12,,,,,3,,parma-verona-apuestas-35215939
2026-02-15 15:18,Stoke Fulham 35172767,,Goal Clustering,BACK,56,1.80,SI,+0.72,+28.84,,,,,5,,stoke-fulham-apuestas-35172767
2026-02-15 15:26,Odense Midtjylland 35244627,,Goal Clustering,BACK,19,2.58,SI,+1.45,+30.29,,,,,6,,odense-midtjylland-apuestas-35244627
2026-02-15 15:29,Parma Verona 35215939,,Pressure Cooker,BACK,66,2.72,SI,+1.59,+31.88,,,,,,,parma-verona-apuestas-35215939
2026-02-15 15:35,us-cremonese-génova-apuestas-35215933,,LAY Over 1.5,LAY,76,1.58,SI,+0.95,+32.83,,,2.7,,,,us-cremonese-génova-apuestas-35215933
2026-02-15 15:37,Oxford United Sunderland 35172773,,LAY Over 1.5,LAY,76,1.44,SI,+0.95,+33.78,,,1.94,,,,oxford-united-sunderland-apuestas-35172773
2026-02-15 15:41,Goztepe Kayserispor 35247853,,LAY Over 1.5,LAY,75,1.48,SI,+0.95,+34.73,,,1.41,,,,goztepe-kayserispor-apuestas-35247853
2026-02-15 15:43,Le Havre Toulouse 35216498,,Odds Drift,BACK,77.0,2.92,SI,+1.77,+36.50,,none,,,,43.1,le-havre-toulouse-apuestas-35216498
2026-02-15 15:52,Mlada Boleslav Teplice 35244135,,Momentum xG V1,BACK,61,2.08,NO,-1.00,+35.50,,none,,,,,mlada-boleslav-teplice-apuestas-35244135
2026-02-15 15:54,Univ De Concepcion Deportes Concepcion 35,,Goal Clustering,BACK,45,2.02,SI,+0.93,+36.43,,,,,3,,univ-de-concepcion-deportes-concepcion-apuestas-35
2026-02-15 16:00,Augsburgo Heidenheim 35217437,,LAY Over 2.5 Def,LAY,70,1.86,SI,+0.95,+37.38,,,0.93,,,,augsburgo-heidenheim-apuestas-35217437
2026-02-15 16:03,Mlada Boleslav Teplice 35244135,,LAY Over 2.5 Def,LAY,71,2.32,SI,+0.95,+38.33,,,0.94,,,,mlada-boleslav-teplice-apuestas-35244135
2026-02-15 16:07,Motherwell Aberdeen 35257642,,LAY Over 1.5,LAY,76,1.27,NO,-0.27,+38.06,,,2.46,,,,motherwell-aberdeen-apuestas-35257642
2026-02-15 17:40,Lorient Angers 35216803,,Goal Clustering,BACK,57,2.68,NO,-1.00,+37.06,,,,,3,,lorient-angers-apuestas-35216803
2026-02-15 18:35,Viborg Brondby 35244371,,LAY Over 2.5 Def,LAY,73,1.85,SI,+0.95,+38.01,,,1.11,,,,viborg-brondby-apuestas-35244371
2026-02-15 19:10,Paok Aek De Atenas 35216981,,LAY Over 1.5,LAY,76,1.55,SI,+0.95,+38.96,,,1.45,,,,paok-aek-de-atenas-apuestas-35216981
2026-02-15 20:15,Sint Truidense Zulte Waregem 35245430,,Pressure Cooker,BACK,69,1.99,SI,+0.90,+39.86,,,,,,,sint-truidense-zulte-waregem-apuestas-35245430
2026-02-15 21:17,Mallorca Betis 35216706,,xG Underperf,BACK,54.0,2.22,SI,+1.12,+40.98,,,,0.53,,,mallorca-betis-apuestas-35216706
2026-02-15 23:59,Red Bull Bragantino Novorizontino 3524529,,Momentum xG V1,BACK,23,1.66,SI,+0.60,+41.58,,none,,,,,red-bull-bragantino-novorizontino-apuestas-3524529
2026-02-16 00:44,colo-colo-unión-la-calera-apuestas-35244,,Momentum xG V1,BACK,50,1.71,NO,-1.00,+40.58,,none,,,,,colo-colo-unión-la-calera-apuestas-35244756
