market,odds_col,window,score_state,stat_filter,n,wr,roi,pl,ci_lo,ci_hi,avg_odds,sharpe,max_dd,n_leagues,max_lg_conc,top_league,roi_train,roi_test,n_train,n_test,overlap_note
LAY Under 2.5,lay_under25,60-80,goals_ge3,none,77,100.0,95.0,731.5,95.2,100,2.83,83362.16,0,32,0.13,Desconocida,95.0,95.0,53,24,
LAY Under 2.5,lay_under25,65-85,goals_ge3,none,76,100.0,95.0,722.0,95.2,100.0,2.49,82819.08,0,31,0.13,Desconocida,95.0,95.0,53,23,
LAY Under 2.5,lay_under25,70-90,goals_ge3,none,75,100.0,95.0,712.5,95.1,100,2.22,82272.41,0,30,0.11,Serie A,95.0,95.0,52,23,
LAY Under 2.5,lay_under25,55-75,goals_ge3,none,74,100.0,95.0,703.0,95.1,100.0,3.11,81722.09,0,35,0.14,Desconocida,95.0,95.0,51,23,
LAY Under 1.5,lay_under15,50-70,goals_ge2,xg_low,59,100.0,95.0,560.5,93.9,100,3.42,72970.88,0,30,0.12,Desconocida,95.0,95.0,41,18,
LAY Under 2.5,lay_under25,60-80,goals_ge3,xg_low,56,100.0,95.0,532.0,93.6,100,2.8,71091.49,0,28,0.14,Desconocida,95.0,95.0,39,17,
LAY Under 1.5,lay_under15,45-65,goals_ge2,xg_low,55,100.0,95.0,522.5,93.5,100.0,3.62,70453.89,0,32,0.11,Serie A,95.0,95.0,38,17,
LAY Under 2.5,lay_under25,50-70,goals_ge3,xg_low,55,100.0,95.0,522.5,93.5,100.0,3.52,70453.89,0,32,0.13,Desconocida,95.0,95.0,38,17,
LAY Under 2.5,lay_under25,55-75,goals_ge3,xg_low,54,100.0,95.0,513.0,93.4,100,3.1,69810.46,0,29,0.11,Desconocida,95.0,95.0,37,17,
LAY Under 1.5,lay_under15,40-60,goals_ge2,none,51,100.0,95.0,484.5,93.0,100.0,3.82,67843.57,0,31,0.12,Serie A,95.0,95.0,35,16,
LAY Under 2.5,lay_under25,65-85,goals_ge3,xg_low,51,100.0,95.0,484.5,93.0,100.0,2.49,67843.57,0,26,0.14,Desconocida,95.0,95.0,35,16,
LAY Under 1.5,lay_under15,40-60,goals_ge2,xg_low,47,100.0,95.0,446.5,92.4,100,3.84,65128.72,0,31,0.11,Serie A,95.0,95.0,32,15,
LAY Under 2.5,lay_under25,70-90,goals_ge3,xg_low,47,100.0,95.0,446.5,92.4,100,2.07,65128.72,0,24,0.13,Desconocida,95.0,95.0,32,15,
LAY Under 1.5,lay_under15,55-75,goals_ge2,xg_low,46,100.0,95.0,437.0,92.3,100,3.16,64432.13,0,26,0.13,Desconocida,95.0,95.0,32,14,
BACK Over 2.5,back_over25,55-75,goals_ge3,none,81,100.0,53.9,436.75,95.5,100.0,1.57,20.42,0,35,0.12,Desconocida,56.1,48.9,56,25,
BACK Over 2.5,back_over25,65-85,goals_ge3,none,82,100.0,81.8,671.12,95.5,100,1.86,19.06,0,33,0.12,Desconocida,85.3,73.9,57,25,
BACK Over 2.5,back_over25,60-80,goals_ge3,none,82,100.0,65.9,540.49,95.5,100,1.69,18.78,0,32,0.12,Desconocida,67.9,61.5,57,25,
LAY Under 3.5,lay_under35,70-90,goals_ge4,none,54,94.4,86.8,468.8,84.9,98.1,1.87,18.7,6.0,33,0.09,Bundesliga,91.3,77.1,37,17,
BACK Over 2.5,back_over25,70-90,goals_ge3,none,80,100.0,102.8,822.28,95.4,100,2.08,18.63,0,31,0.1,Serie A,100.7,107.7,56,24,
BACK Over 1.5,back_over15,50-70,goals_ge2,xg_low,86,100.0,37.3,320.97,95.7,100,1.39,18.62,0,34,0.1,Desconocida,37.4,37.2,60,26,
BACK Over 2.5,back_over25,70-90,goals_ge3,xg_low,50,100.0,112.4,561.91,92.9,100,2.18,18.02,0,25,0.12,Desconocida,116.5,102.7,35,15,
BACK Over 2.5,back_over25,65-85,goals_ge3,xg_low,55,100.0,81.9,450.46,93.5,100.0,1.86,17.67,0,28,0.13,Desconocida,84.8,75.4,38,17,
BACK Over 1.5,back_over15,55-75,goals_ge2,xg_low,57,100.0,46.8,266.64,93.7,100.0,1.49,17.57,0,28,0.11,Bundesliga,43.6,53.7,39,18,
BACK Over 2.5,back_over25,55-75,goals_ge3,xg_low,59,100.0,54.7,322.49,93.9,100,1.58,17.08,0,29,0.1,Desconocida,57.4,48.4,41,18,
