id,fecha_utc,partido,estrategia,tipo_apuesta,minuto_entrada,score_entrada,recomendacion,cuota_entrada,cuota_minima,cuota_valida,stake,estado,resultado,pl,ev_esperado,confianza,wr_historico,roi_historico,muestra
12,2026-02-21 00:44:51,"Llaneros - Ind Medellin","xG Underperformance (BASE)",paper,57,0-1,"BACK Over 1.5",1.66,1.51,SI,1.00,cashout,cashout,-0.17,1.83,high,72.7%,24.7%,11
11,2026-02-21 00:38:58,"Instituto - Atl Tucuman","Pressure Cooker (V1)",paper,68,1-1,"BACK Over 2.5",2.08,1.35,SI,1.00,cashout,cashout,-0.32,6.45,medium,81.2%,81.9%,16
10,2026-02-21 00:31:35,"Llaneros - Ind Medellin","Momentum Dominante x xG (V1)",paper,45,0-0,"BACK HOME @ 2.88",2.88,1.65,SI,1.00,cashout,cashout,-0.86,8.58,high,66.7%,52.2%,12
8,2026-02-20 23:55:39,"Deportes Concepcion - Cobresal","Momentum Dominante x xG (V2)",paper,25,0-0,"BACK AWAY @ 4.90",4.90,1.65,SI,1.00,cashout,cashout,-0.21,21.38,high,66.7%,52.2%,12
7,2026-02-20 19:25:46,"Botosani - Universitatea Cluj","Goal Clustering (V2)",paper,59,1-3,"BACK Over 4.5",1.49,1.47,SI,1.00,lost,lost,-1.00,0.99,high,75.0%,72.7%,44
3,2026-02-20 19:23:51,"Annecy - Red Star","Momentum Dominante x xG (V2)",paper,21,0-0,"BACK HOME @ 2.54",2.54,1.65,SI,1.00,won,won,1.46,6.43,high,66.7%,52.2%,12
4,2026-02-20 19:23:51,"Dunkerque - Bastia","Momentum Dominante x xG (V2)",paper,21,0-0,"BACK AWAY @ 3.75",3.75,1.65,SI,1.00,cashout,cashout,-0.23,14.10,high,66.7%,52.2%,12
5,2026-02-20 19:23:51,"Rodez - Montpellier","Momentum Dominante x xG (V2)",paper,21,0-0,"BACK HOME @ 2.96",2.96,1.65,SI,1.00,cashout,cashout,-0.21,9.09,high,66.7%,52.2%,12
6,2026-02-20 19:23:51,"Willem II - Vitesse Arnhem","Momentum Dominante x xG (V2)",paper,15,0-0,"BACK AWAY @ 4.20",4.20,1.65,SI,1.00,lost,lost,-1.00,16.95,high,66.7%,52.2%,12
2,2026-02-20 15:47:35,"Otelul Galati - UTA Arad","Goal Clustering (V2)",paper,43,1-2,"BACK Over 3.5",1.26,1.47,NO,1.00,won,won,0.25,-0.65,low,75.0%,72.7%,44
1,2026-02-20 01:36:00,"Lanús - Flamengo","Momentum Dominante x xG (V2)",paper,45,0-0,"BACK HOME @ 4.20",4.20,1.65,SI,1.00,won,won,3.04,16.95,high,66.7%,52.2%,12
