event_type,timestamp_utc,match_id,match_name,match_url,strategy,strategy_name,minute,score,recommendation,back_odds,min_odds,expected_value,confidence,win_rate_historical,roi_historical,sample_size,conditions,first_detected_minute,first_detected_odds,signal_age_minutes,odds_vs_first_pct
first_detection,2026-02-16 14:30:32,septemvri-montana-apuestas-35243291,Septemvri - Montana,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/liga-a-b%C3%BAlgara/septemvri-montana-apuestas-35243291,odds_drift_contrarian_v1,Odds Drift Contrarian (V1),69,1-0,BACK HOME @ 2.06,2.06,1.65,3.39,high,66.7,142.3,27,"{'team': 'Home', 'odds_before': 1.24, 'odds_now': 2.06, 'drift_pct': 66.1}",69,2.06,0,0.0
first_detection,2026-02-16 15:38:18,modern-sport-fc-kahraba-ismailia-apuestas-35248915,Modern Sport FC - Kahraba Ismailia,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/egipto-premier-league/modern-sport-fc-kahraba-ismailia-apuestas-35248915,back_draw_00_v2r,Back Empate 0-0 (V15),35,0-0,BACK DRAW @ 2.70,2.7,1.93,4.93,high,57.1,50.2,7,"{'xg_total': 0.54, 'possession_diff': 7.2, 'total_shots': 7}",35,2.7,0,0.0
first_detection,2026-02-16 16:08:35,botev-vratsa-dobrudzha-apuestas-35243307,Botev Vratsa - Dobrudzha,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/liga-a-b%C3%BAlgara/botev-vratsa-dobrudzha-apuestas-35243307,back_draw_00_v2r,Back Empate 0-0 (V15),35,0-0,BACK DRAW @ 2.38,2.38,1.93,3.2,high,57.1,50.2,7,"{'xg_total': 0.0, 'possession_diff': 24.0, 'total_shots': 5}",35,2.38,0,0.0
first_detection,2026-02-16 16:19:01,hermannstadt-cfr-cluj-apuestas-35247993,Hermannstadt - CFR Cluj,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/romanian-liga-i/hermannstadt-cfr-cluj-apuestas-35247993,xg_underperformance_v2,xG Underperformance (V2),52,0-1,BACK Over 1.5,,1.51,,medium,72.7,24.7,11,"{'team': 'Home', 'xg_excess': 0.88, 'shots_on_target': 2}",52,,0,0.0
first_detection,2026-02-16 16:19:01,hermannstadt-cfr-cluj-apuestas-35247993,Hermannstadt - CFR Cluj,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/romanian-liga-i/hermannstadt-cfr-cluj-apuestas-35247993,odds_drift_contrarian_v1,Odds Drift Contrarian (V1),52,0-1,BACK AWAY @ 2.98,2.98,1.65,9.22,high,66.7,142.3,27,"{'team': 'Away', 'odds_before': 2.36, 'odds_now': 2.98, 'drift_pct': 26.3}",52,2.98,0,0.0
first_detection,2026-02-16 16:19:01,hermannstadt-cfr-cluj-apuestas-35247993,Hermannstadt - CFR Cluj,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/romanian-liga-i/hermannstadt-cfr-cluj-apuestas-35247993,goal_clustering_v2,Goal Clustering (V2),52,0-1,BACK Over 1.5,,1.47,,medium,75.0,72.7,44,"{'goal_minute': 52, 'sot_max': 3, 'total_goals': 1}",52,,0,0.0
first_detection,2026-02-16 16:43:40,al-sharjah-nasaf-apuestas-35269093,Al Sharjah - Nasaf,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/champions-league-asi%C3%A1tica/al-sharjah-nasaf-apuestas-35269093,odds_drift_contrarian_v1,Odds Drift Contrarian (V1),41,0-1,BACK AWAY @ 2.00,2.0,1.65,3.01,high,66.7,142.3,27,"{'team': 'Away', 'odds_before': 1.34, 'odds_now': 2.0, 'drift_pct': 49.3}",41,2.0,0,0.0
first_detection,2026-02-16 17:59:10,nk-bravo-nk-aluminij-apuestas-35247855,NK Bravo - NK Aluminij,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/premier-league-eslovena/nk-bravo-nk-aluminij-apuestas-35247855,goal_clustering_v2,Goal Clustering (V2),68,1-1,BACK Over 2.5,1.49,1.47,0.99,high,75.0,72.7,44,"{'goal_minute': 68, 'sot_max': 10, 'total_goals': 2}",68,1.49,0,0.0
first_detection,2026-02-16 17:59:50,nk-bravo-nk-aluminij-apuestas-35247855,NK Bravo - NK Aluminij,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/premier-league-eslovena/nk-bravo-nk-aluminij-apuestas-35247855,pressure_cooker_v1,Pressure Cooker (V1),69,1-1,BACK Over 2.5,1.49,1.35,1.9,medium,81.2,81.9,16,"{'score': '1-1', 'total_goals': 2, 'over_odds': 1.49}",69,1.49,0,0.0
first_detection,2026-02-16 18:32:10,enppi-national-bank-apuestas-35255322,ENPPI - National Bank,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/egipto-premier-league/enppi-national-bank-apuestas-35255322,back_draw_00_v15,Back Empate 0-0 (V15),30,0-0,BACK DRAW @ 2.34,2.34,1.93,2.98,high,57.1,50.2,7,"{'xg_total': 0.02, 'possession_diff': 2.0, 'total_shots': 1}",30,2.34,0,0.0
