Game,url,fecha_hora_inicio
Al-Hazm (KSA) - Al-Akhdoud,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/arabia-saud%C3%AD-liga-profesional/al-hazm-ksa-al-akhdoud-apuestas-35232966,2026-02-12 18:30
Al-Quadisiya (KSA) - NEOM Sports Club,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/arabia-saud%C3%AD-liga-profesional/al-quadisiya-ksa-neom-sports-club-apuestas-35241036,2026-02-12 18:30
Wolfsburgo Femenino - Juventus FC Femenino,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/champions-league-femenina/wolfsburgo-femenino-juventus-fc-w-apuestas-35105544,2026-02-12 18:45
Sion - FC Basel,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/super-league-suiza/sion-fc-basel-apuestas-35234028,2026-02-12 20:30
Thun - Lausanne,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/super-league-suiza/thun-lausanne-apuestas-35244305,2026-02-12 20:30
Atlético de Madrid Femenino - Manchester United Femenino,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/champions-league-femenina/atl%C3%A9tico-de-madrid-femenino-manchester-united-femenino-apuestas-35105541,2026-02-12 21:00
Atlético de Madrid - FC Barcelona,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/copa-del-rey/atl%C3%A9tico-de-madrid-fc-barcelona-apuestas-35238124,2026-02-12 21:00
Brentford - Arsenal,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/premier-league-inglesa/brentford-arsenal-apuestas-35212180,2026-02-12 21:00
Athletico-PR - Santos,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/serie-a-brasil/athletico-pr-santos-apuestas-35207628,2026-02-12 23:00
Tigre - Aldosivi,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/argentina-primera-divisi%C3%B3n/tigre-aldosivi-apuestas-35224990,2026-02-12 23:00
