match,match_id,csv_file,timestamp_utc,strategy,minuto,score,ft_score,won,pl,back_draw,back_over_odds,over_line,back_odds,drift_pct,xg_total,xg_excess,poss_diff,shots_total,sot_total,sot_max,passes_v15,passes_v2r,passes_v2,passes_v3,passes_v4,team,goal_diff,cashout_applied,cashout_minute,cashout_lay_odds,conservative_odds,pl_conservative,stability_count,risk_level
"Brentford Arsenal",brentford-arsenal-apuestas-35212180,brentford-arsenal-apuestas-35212180.csv,2026-02-12 20:32:28,Back Empate,31,,1-1,1,17.67,2.96,,,,,0.25,,2,2,1,,1,1,1,0,1,,,0,,,2.82,17.29,11,
"Atlético De Madrid Fc Barcelona",atlético-de-madrid-fc-barcelona-apuestas-3523,atlético-de-madrid-fc-barcelona-apuestas-3523.csv,2026-02-12 20:50:54,xG Underperf,47,4-0,4-0,0,-10,,1.42,Over 4.5,,,,0.5,,,,,0,0,1,1,0,away,,0,,,1.42,-10,11,
"Brentford Arsenal",brentford-arsenal-apuestas-35212180,brentford-arsenal-apuestas-35212180.csv,2026-02-12 21:26:50,xG Underperf,68,0-1,1-1,1,5.51,,1.64,Over 1.5,,,,0.57,,,,,0,0,1,1,0,home,,0,,,1.48,4.56,5,
"Fluminense Botafogo Fr",fluminense-botafogo-fr-apuestas-35248598,fluminense-botafogo-fr-apuestas-35248598.csv,2026-02-12 23:06:24,Back Empate,32,,1-0,0,-10,2.68,,,,,0.1,,7.6,2,1,,1,1,1,1,0,,,0,,,2.68,-10,8,
"Corinthians Red Bull Bragantino",corinthians-red-bull-bragantino-apuestas-35207556,corinthians-red-bull-bragantino-apuestas-35207556.csv,2026-02-13 00:32:30,xG Underperf,64,1-0,2-0,1,5.98,,1.69,Over 1.5,,,,1.24,,,,,0,0,1,1,0,away,,0,,,1.65,6.17,11,
"Internacional Se Palmeiras",internacional-se-palmeiras-apuestas-35224753,internacional-se-palmeiras-apuestas-35224753.csv,2026-02-13 00:53:56,Odds Drift,22,0-1,0-1,1,13.97,,,,2.56,36.2,,,,,,,0,0,0,0,0,away,1,0,,,1.85,8.07,11,none
"Anorthosis Digenis Ypsona",anorthosis-digenis-ypsona-apuestas-35247517,anorthosis-digenis-ypsona-apuestas-35247517.csv,2026-02-13 17:38:22,Back Empate,34,,1-1,1,12.83,2.44,,,,,0,,2,5,2,,1,1,1,0,0,,,0,,,2.44,13.68,10,
"Galatasaray Eyupspor",galatasaray-eyupspor-apuestas-35243984,galatasaray-eyupspor-apuestas-35243984.csv,2026-02-13 17:44:21,Goal Clustering,33,2-0,5-1,1,2.28,,1.29,Over 2.5,,,,,,,,5,0,0,0,1,1,,,0,,,1.29,2.76,11,
"Anorthosis Digenis Ypsona",anorthosis-digenis-ypsona-apuestas-35247517,anorthosis-digenis-ypsona-apuestas-35247517.csv,2026-02-13 17:50:14,Goal Clustering,36,1-0,1-1,1,3.04,,1.37,Over 1.5,,,,,,,,3,0,0,0,1,0,,,0,,,1.37,3.52,11,
"Fortuna Dusseldorf Preussen Munster",fortuna-dusseldorf-preussen-munster-apuestas-35243,fortuna-dusseldorf-preussen-munster-apuestas-35243.csv,2026-02-13 18:05:04,Back Empate,34,,0-0,1,15.58,2.74,,,,,0.51,,1.6,7,1,,1,1,0,1,0,,,0,,,2.44,13.68,11,
"Liverpool Montevideo Defensor Sp",liverpool-montevideo-defensor-sp-apuestas-35238332,liverpool-montevideo-defensor-sp-apuestas-35238332.csv,2026-02-14 01:18:56,Goal Clustering,43,1-1,1-2,1,11.21,,2.26,Over 2.5,,,,,,,,3,0,0,0,1,0,,,0,,,2.26,11.97,11,
