Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,St. Gilloise,24,15,7,2,40,13,27,52,2.17,12,11,1,0,26,3,2.83,12,4,6,2,14,10,1.5,1.67,0.54,16,6,12,50.0,41.7,29.2,370,209,138,64,37.3,143,86,312,237,57,1,DWDWW,11,1622,1.43,1.88,15,8,0,1
2,St Truiden,24,15,3,6,37,26,11,48,2.0,12,8,1,3,17,13,2.08,12,7,2,3,20,13,1.92,1.54,1.08,17,11,7,29.2,54.2,54.2,347,289,108,97,31.1,126,109,278,280,43,2,WWWLW,12,1602,2.27,3.61,10,2,5,7
3,Club Brugge,24,15,2,7,45,29,16,47,1.96,12,9,1,2,26,15,2.33,12,6,1,5,19,14,1.58,1.88,1.21,18,14,8,33.3,50.0,50.0,393,287,131,94,33.3,152,102,228,283,32,2,WLWLW,9,1569,1.48,1.85,15,8,0,1
4,Mechelen,24,9,9,6,30,26,4,36,1.5,12,4,6,2,14,12,1.5,12,5,3,4,16,14,1.5,1.25,1.08,16,7,6,25.0,62.5,33.3,254,367,93,122,36.6,119,153,251,280,60,0,DLDDW,6,1517,2.65,4.09,3,7,6,8
5,Anderlecht,24,10,6,8,30,30,0,36,1.5,12,7,3,2,18,10,2.0,12,3,3,6,12,20,1.0,1.25,1.25,12,13,9,37.5,41.7,37.5,357,288,111,94,31.1,153,106,334,266,62,3,LLDLL,1,1497,1.94,2.57,8,12,2,2
6,Gent,24,9,6,9,38,35,3,33,1.38,12,6,2,4,22,15,1.67,12,3,4,5,16,20,1.08,1.58,1.46,15,18,6,25.0,62.5,58.3,331,334,108,117,32.6,117,128,266,269,39,3,WWWDL,10,1497,2.68,3.8,5,4,3,11
7,Charleroi,24,9,6,9,32,30,2,33,1.38,12,4,5,3,17,14,1.42,12,5,1,6,15,16,1.33,1.33,1.25,18,16,7,29.2,54.2,41.7,295,281,104,86,35.3,119,119,286,267,52,3,WWWWL,12,1520,2.33,3.88,3,10,6,5
8,Genk,24,8,8,8,33,35,-2,32,1.33,12,4,4,4,17,17,1.33,12,4,4,4,16,18,1.33,1.38,1.46,16,19,2,8.3,79.2,58.3,381,312,140,115,36.7,135,102,246,312,33,1,LLDWW,7,1497,1.85,2.28,8,12,0,4
9,Antwerp,24,8,6,10,28,26,2,30,1.25,12,5,3,4,19,15,1.5,12,3,3,6,9,11,1.0,1.17,1.08,15,13,5,20.8,45.8,37.5,285,326,105,101,36.8,100,121,304,296,46,2,WLLWL,6,1479,2.71,3.82,4,5,4,11
10,Standard,24,9,3,12,20,32,-12,30,1.25,12,4,3,5,12,16,1.25,12,5,0,7,8,16,1.25,0.83,1.33,13,17,7,29.2,29.2,41.7,231,357,75,120,32.5,104,132,267,297,51,6,LLLWL,3,1465,2.95,4.58,1,5,7,9
11,Waregem,24,7,8,9,32,35,-3,29,1.21,12,5,3,4,16,14,1.5,12,2,5,5,16,21,0.92,1.33,1.46,16,15,5,20.8,62.5,45.8,280,321,100,111,35.7,101,130,267,290,38,2,LWLLW,6,1471,3.03,4.74,3,2,4,14
12,Westerlo,24,7,7,10,30,37,-7,28,1.17,12,5,2,5,14,13,1.42,12,2,5,5,16,24,0.92,1.25,1.54,14,20,7,29.2,37.5,37.5,354,317,109,103,30.8,127,124,286,287,38,2,LLDWL,4,1469,2.23,3.93,4,8,3,9
13,Oud-Heverlee Leuven,24,6,7,11,24,33,-9,25,1.04,12,2,5,5,14,15,0.92,12,4,2,6,10,18,1.17,1.0,1.38,10,17,6,25.0,50.0,45.8,327,311,106,112,32.4,107,140,396,282,80,1,DLDDW,6,1467,3.17,4.18,2,4,4,13
14,Cercle Brugge,24,5,9,10,32,38,-6,24,1.0,12,1,4,7,17,26,0.58,12,4,5,3,15,12,1.42,1.33,1.58,20,21,5,20.8,62.5,45.8,307,353,99,127,32.2,109,130,259,313,47,4,DWDLW,8,1465,2.33,3.54,1,9,3,9
15,RAAL La Louviere,24,5,9,10,21,28,-7,24,1.0,12,3,5,4,7,9,1.17,12,2,4,6,14,19,0.83,0.88,1.17,9,12,8,33.3,54.2,45.8,229,300,65,116,28.4,112,103,278,292,43,1,DWLDL,5,1450,3.44,4.9,1,6,4,13
16,Dender,24,3,8,13,18,37,-19,17,0.71,12,1,4,7,8,19,0.58,12,2,4,6,10,18,0.83,0.75,1.54,7,13,4,16.7,54.2,45.8,259,348,92,105,35.5,81,120,271,278,52,4,DWDLL,5,1412,3.43,4.8,0,3,3,17
