Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,Bayern Munich,21,17,3,1,79,19,60,54,2.57,11,9,1,1,45,10,2.55,10,8,2,0,34,9,2.6,3.76,0.9,34,10,8,38.1,61.9,100.0,405,202,186,51,45.9,134,74,196,186,40,0,WWLDW,10,1654,1.17,1.32,17,4,0,0
2,Dortmund,21,14,6,1,43,20,23,48,2.29,10,8,2,0,22,8,2.6,11,6,4,1,21,12,2.0,2.05,0.95,21,4,10,47.6,52.4,52.4,277,227,100,70,36.1,113,98,242,225,37,2,WWWWW,15,1643,1.5,2.45,13,6,1,1
3,Hoffenheim,21,13,3,5,44,28,16,42,2.0,10,7,0,3,24,13,2.1,11,6,3,2,20,15,1.91,2.1,1.33,24,13,5,23.8,66.7,66.7,266,277,102,95,38.3,104,118,302,204,42,2,WWWWL,12,1601,2.65,3.57,9,1,4,7
4,RB Leipzig,21,12,3,6,40,28,12,39,1.86,10,7,0,3,23,13,2.1,11,5,3,3,17,15,1.64,1.9,1.33,19,10,9,42.9,52.4,61.9,340,258,118,84,34.7,111,97,194,220,30,0,LWDLW,7,1550,2.02,3.18,10,6,2,3
5,Stuttgart,21,12,3,6,38,28,10,39,1.86,10,7,2,1,14,11,2.3,11,5,1,5,24,17,1.45,1.81,1.33,16,13,8,38.1,57.1,71.4,318,263,122,90,38.4,116,87,209,263,40,1,WDWWL,10,1567,2.08,2.67,11,6,1,3
6,Leverkusen,20,11,3,6,39,27,12,36,1.8,10,6,1,3,20,10,1.9,10,5,2,3,19,17,1.7,1.95,1.35,25,17,5,25.0,60.0,60.0,275,244,92,98,33.5,99,95,179,228,47,2,LLWWD,7,1554,1.79,3.15,10,7,1,2
7,Freiburg,21,8,6,7,32,33,-1,30,1.43,10,6,3,1,19,11,2.1,11,2,3,6,13,22,0.82,1.52,1.57,13,14,5,23.8,61.9,61.9,262,279,85,93,32.4,92,87,205,269,35,3,LDWLW,7,1516,2.23,4.29,5,5,3,8
8,Ein Frankfurt,21,7,7,7,41,46,-5,28,1.33,10,4,2,4,17,18,1.4,11,3,5,3,24,28,1.27,1.95,2.19,20,18,3,14.3,76.2,66.7,243,251,89,96,36.6,94,80,231,201,38,2,LDLLD,2,1488,2.59,2.88,7,5,0,9
9,Union Berlin,21,6,7,8,26,34,-8,25,1.19,11,3,5,3,16,17,1.27,10,3,2,5,10,17,1.1,1.24,1.62,9,14,4,19.0,61.9,57.1,274,251,75,90,27.4,116,86,276,230,46,2,DDLLD,3,1475,3.48,4.29,1,6,5,9
10,FC Koln,21,6,5,10,30,34,-4,23,1.1,11,4,2,5,19,17,1.27,10,2,3,5,11,17,0.9,1.43,1.62,11,16,3,14.3,71.4,57.1,281,301,94,103,33.5,87,125,175,229,35,1,LWLWL,6,1440,3.09,4.07,4,4,2,11
11,Hamburg,20,5,7,8,21,29,-8,22,1.1,10,4,4,2,15,11,1.6,10,1,3,6,6,18,0.6,1.05,1.45,7,13,6,30.0,50.0,50.0,263,277,97,95,36.9,77,100,250,262,48,6,LDDDW,6,1477,3.31,6.46,3,4,2,11
12,M'gladbach,21,5,7,9,25,34,-9,22,1.05,11,2,4,5,13,21,0.91,10,3,3,4,12,13,1.2,1.19,1.62,10,19,8,38.1,38.1,52.4,228,317,88,114,38.6,89,104,239,231,27,1,LDLDD,3,1462,3.32,3.72,3,4,2,12
13,Augsburg,21,6,4,11,24,39,-15,22,1.05,11,4,3,4,14,19,1.36,10,2,1,7,10,20,0.7,1.14,1.86,11,21,3,14.3,57.1,61.9,268,286,91,98,34.0,92,103,249,267,56,1,DDWWL,8,1459,3.65,5.33,2,3,4,12
14,Mainz,21,5,6,10,25,33,-8,21,1.0,11,3,3,5,12,13,1.09,10,2,3,5,13,20,0.9,1.19,1.57,11,16,2,9.5,57.1,52.4,236,316,75,108,31.8,111,87,245,210,51,5,WLWWW,12,1471,2.36,5.55,4,7,1,9
15,Wolfsburg,21,5,4,12,29,44,-15,19,0.9,11,2,3,6,17,23,0.82,10,3,1,6,12,21,1.0,1.38,2.1,15,18,1,4.8,76.2,66.7,248,318,85,109,34.3,80,160,237,203,42,1,WDLLL,4,1419,2.57,4.97,3,6,2,10
16,Werder Bremen,21,4,7,10,22,39,-17,19,0.9,10,3,4,3,12,18,1.3,11,1,3,7,10,21,0.55,1.05,1.86,7,16,4,19.0,42.9,52.4,279,303,87,117,31.2,98,110,211,213,50,3,DLLDL,2,1426,2.72,6.36,3,4,1,13
17,St Pauli,21,4,5,12,20,35,-15,17,0.81,10,3,3,4,11,17,1.2,11,1,2,8,9,18,0.45,0.95,1.67,8,14,3,14.3,57.1,57.1,223,237,77,107,34.5,105,102,220,217,31,1,LDDLW,5,1419,3.13,6.85,2,3,2,14
18,Heidenheim,21,3,4,14,19,47,-28,13,0.62,11,2,3,6,10,24,0.82,10,1,1,8,9,23,0.4,0.9,2.24,6,21,0,0.0,61.9,71.4,249,328,75,120,30.1,103,108,219,221,34,1,LDLLL,1,1379,4.85,6.18,0,0,3,18
