Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,Darmstadt,21,11,8,2,40,22,18,41,1.95,11,8,3,0,24,8,2.45,10,3,5,2,16,14,1.4,1.9,1.05,16,12,9,42.9,52.4,57.1,291,303,111,86,38.1,104,114,247,247,35,1,DDWDW,9,1601,1.83,2.94,9,3,2,7
2,Schalke 04,21,12,4,5,26,16,10,40,1.9,10,7,2,1,14,8,2.3,11,5,2,4,12,8,1.55,1.24,0.76,11,4,10,47.6,38.1,42.9,265,193,89,60,33.6,106,92,290,256,53,1,LDDLD,3,1561,2.19,2.74,7,6,5,3
3,Paderborn,21,12,3,6,33,24,9,39,1.86,11,7,1,3,19,15,2.0,10,5,2,3,14,9,1.7,1.57,1.14,12,13,6,28.6,61.9,61.9,342,231,119,78,34.8,118,102,275,228,46,3,DLWLW,7,1546,1.92,2.27,12,8,0,1
4,Elversberg,21,11,5,5,37,23,14,38,1.81,10,5,4,1,16,9,1.9,11,6,1,4,21,14,1.73,1.76,1.1,14,10,7,33.3,47.6,52.4,333,243,110,83,33.0,130,96,233,309,42,1,DLDWL,5,1555,2.0,2.63,9,8,2,2
5,Hannover,21,11,5,5,38,28,10,38,1.81,10,6,1,3,17,13,1.9,11,5,4,2,21,15,1.73,1.81,1.33,18,10,6,28.6,61.9,81.0,313,240,116,82,37.1,119,79,283,289,43,1,LLWWW,9,1560,1.82,2.36,8,9,3,1
6,Hertha,21,9,7,5,28,20,8,34,1.62,11,4,4,3,9,10,1.45,10,5,3,2,19,10,1.8,1.33,0.95,12,10,11,52.4,33.3,42.9,258,309,90,91,34.9,96,118,280,243,53,3,DDDDW,7,1550,2.08,2.82,4,9,5,3
7,Kaiserslautern,21,9,4,8,35,31,4,31,1.48,11,7,1,3,25,15,2.0,10,2,3,5,10,16,0.9,1.67,1.48,13,11,3,14.3,61.9,61.9,281,287,103,108,36.7,105,101,260,290,58,2,LWDLL,4,1497,2.35,3.26,6,4,3,8
8,Bochum,21,7,6,8,30,27,3,27,1.29,10,5,2,3,17,12,1.7,11,2,4,5,13,15,0.91,1.43,1.29,16,10,7,33.3,57.1,47.6,297,299,90,108,30.3,123,125,287,206,67,0,DDDWD,7,1512,2.17,3.2,7,5,0,9
9,Karlsruhe,21,7,6,8,30,37,-7,27,1.29,10,5,2,3,17,17,1.7,11,2,4,5,13,20,0.91,1.43,1.76,11,13,5,23.8,52.4,66.7,248,352,85,117,34.3,105,109,262,231,55,2,DWDLD,6,1477,2.62,3.68,5,1,2,13
10,Nurnberg,21,7,5,9,24,30,-6,26,1.24,11,5,4,2,15,13,1.73,10,2,1,7,9,17,0.7,1.14,1.43,7,12,2,9.5,61.9,57.1,274,263,101,101,36.9,116,93,254,295,56,2,WWLDL,7,1487,2.45,3.33,3,4,4,10
11,Bielefeld,21,6,6,9,33,30,3,24,1.14,11,5,2,4,22,14,1.55,10,1,4,5,11,16,0.7,1.57,1.43,13,14,5,23.8,61.9,52.4,289,262,89,93,30.8,131,93,277,306,45,2,DLDDW,6,1466,2.18,3.29,4,7,2,8
12,Holstein Kiel,21,6,6,9,26,29,-3,24,1.14,10,4,2,4,12,10,1.4,11,2,4,5,14,19,0.91,1.24,1.38,13,14,5,23.8,61.9,47.6,253,309,80,96,31.6,98,120,292,290,59,3,WWDLL,7,1464,2.21,3.03,4,7,2,8
13,Fortuna Dusseldorf,21,7,3,11,20,31,-11,24,1.14,11,4,2,5,11,16,1.27,10,3,1,6,9,15,1.0,0.95,1.48,7,9,3,14.3,57.1,52.4,266,296,77,103,28.9,84,98,269,247,59,3,WWLWD,10,1463,2.48,3.58,3,7,4,7
14,Braunschweig,21,7,3,11,23,35,-12,24,1.14,11,4,2,5,12,19,1.27,10,3,1,6,11,16,1.0,1.1,1.67,14,15,4,19.0,57.1,57.1,264,286,80,99,30.3,96,126,268,286,55,7,WLDWL,7,1458,3.0,4.04,2,0,5,14
15,Magdeburg,21,7,2,12,31,37,-6,23,1.1,10,2,1,7,14,20,0.7,11,5,1,5,17,17,1.45,1.48,1.76,14,17,5,23.8,42.9,57.1,347,295,118,101,34.0,116,103,261,265,59,1,WWLLW,9,1468,2.28,3.13,4,6,3,8
16,Preußen Münster,21,5,7,9,25,32,-7,22,1.05,11,3,6,2,15,14,1.36,10,2,1,7,10,18,0.7,1.19,1.52,9,13,1,4.8,76.2,57.1,257,292,87,97,33.9,88,123,296,294,61,4,DLLDD,3,1457,2.85,3.85,2,4,3,12
17,Dresden,21,5,6,10,31,38,-7,21,1.0,10,2,3,5,15,17,0.9,11,3,3,5,16,21,1.09,1.48,1.81,19,19,1,4.8,81.0,76.2,269,304,82,92,30.5,109,123,231,258,41,3,LWWDD,8,1459,2.49,3.76,2,6,3,10
18,Greuther Furth,21,5,4,12,32,52,-20,19,0.9,10,2,3,5,14,24,0.9,11,3,1,7,18,28,0.91,1.52,2.48,11,24,2,9.5,61.9,76.2,237,320,84,116,35.4,92,121,254,279,44,2,LLDWL,4,1420,2.94,4.54,2,2,3,14
