Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,Arsenal,26,17,6,3,50,18,32,57,2.19,13,10,2,1,31,8,2.46,13,7,4,2,19,10,1.92,1.92,0.69,18,6,13,50.0,46.2,50.0,380,202,128,56,33.7,157,83,263,272,36,0,DLWWD,8,1634,1.41,1.82,17,8,0,1
2,Man City,26,16,5,5,54,24,30,53,2.04,13,10,2,1,32,8,2.46,13,6,3,4,22,16,1.62,2.08,0.92,30,6,11,42.3,46.2,61.5,369,256,132,89,35.8,144,99,263,296,49,0,LWDWW,10,1609,1.43,1.98,15,9,1,1
3,Aston Villa,26,15,5,6,37,27,10,50,1.92,13,9,1,3,19,10,2.15,13,6,4,3,18,17,1.69,1.42,1.04,14,13,8,30.8,50.0,50.0,326,332,113,111,34.7,139,126,262,353,38,1,LWLDW,7,1594,2.3,3.39,9,8,6,3
4,Man United,26,12,9,5,47,37,10,45,1.73,13,8,3,2,25,15,2.08,13,4,6,3,22,22,1.38,1.81,1.42,20,12,4,15.4,73.1,57.7,417,284,148,94,35.5,116,127,262,285,33,1,WWWWD,13,1577,2.09,3.0,7,11,5,3
5,Chelsea,26,12,8,6,47,30,17,44,1.69,13,6,4,3,22,15,1.69,13,6,4,3,25,15,1.69,1.81,1.15,20,14,9,34.6,65.4,65.4,356,285,125,99,35.1,149,111,288,314,60,5,WWWWD,13,1558,1.85,2.23,11,12,1,2
6,Liverpool,26,12,6,8,41,35,6,42,1.62,13,7,3,3,21,14,1.85,13,5,3,5,20,21,1.38,1.58,1.35,13,12,8,30.8,61.5,61.5,410,281,113,95,27.6,151,116,252,274,41,1,DLWLW,7,1533,1.61,2.32,12,12,0,2
7,Brentford,26,12,4,10,40,35,5,40,1.54,13,7,4,2,24,13,1.92,13,5,0,8,16,22,1.15,1.54,1.35,16,16,6,23.1,53.8,50.0,270,327,105,102,38.9,128,134,280,246,52,0,LLWWD,7,1538,3.07,3.81,4,4,8,10
8,Everton,26,10,7,9,29,30,-1,37,1.42,13,4,4,5,16,18,1.23,13,6,3,4,13,12,1.62,1.12,1.15,12,15,9,34.6,46.2,34.6,286,352,85,105,29.7,111,133,278,308,48,4,WDDWL,8,1509,2.69,4.31,3,9,7,7
9,Bournemouth,26,9,10,7,43,45,-2,37,1.42,13,6,5,2,20,14,1.77,13,3,5,5,23,31,1.08,1.65,1.73,21,20,6,23.1,69.2,61.5,353,331,129,124,36.5,147,137,317,272,62,1,DWWDW,11,1531,2.6,4.09,6,6,3,11
10,Newcastle,26,10,6,10,37,37,0,36,1.38,13,7,2,4,24,20,1.77,13,3,4,6,13,17,1.0,1.42,1.42,18,13,7,26.9,61.5,61.5,344,293,118,105,34.3,181,132,257,297,38,1,DLLLW,4,1492,2.21,2.47,9,9,1,7
