Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,Middlesbrough,31,18,7,6,49,30,19,61,1.97,15,10,3,2,25,11,2.2,16,8,4,4,24,19,1.75,1.58,0.97,23,14,9,29.0,54.8,54.8,448,319,141,98,31.5,192,138,294,400,46,1,WWWWW,15,1614,2.07,2.57,13,10,5,3
2,Coventry,31,17,8,6,63,35,28,59,1.9,15,11,3,1,31,11,2.4,16,6,5,5,32,24,1.44,2.03,1.13,30,14,10,32.3,61.3,61.3,533,368,175,126,32.8,171,149,292,338,49,2,WWLLD,7,1564,1.68,2.27,17,10,0,4
3,Ipswich,30,15,9,6,51,29,22,54,1.8,16,10,5,1,30,12,2.19,14,5,4,5,21,17,1.36,1.7,0.97,19,13,10,33.3,60.0,53.3,468,303,153,99,32.7,171,117,327,383,50,0,WWLDW,10,1596,1.62,2.22,14,14,1,1
4,Hull,31,16,6,9,50,43,7,54,1.74,16,8,3,5,23,23,1.69,15,8,3,4,27,20,1.8,1.61,1.39,27,23,9,29.0,61.3,64.5,345,471,135,146,39.1,139,180,349,303,74,0,WWWDL,10,1569,2.62,3.85,4,7,12,8
5,Millwall,31,15,8,8,39,36,3,53,1.71,16,9,3,4,22,18,1.88,15,6,5,4,17,18,1.53,1.26,1.16,16,14,12,38.7,45.2,45.2,397,380,128,128,32.2,162,161,409,259,61,2,WLWDW,10,1577,2.42,3.44,6,6,9,10
6,Wrexham,31,12,11,8,44,39,5,47,1.52,16,6,6,4,26,24,1.5,15,6,5,4,18,15,1.53,1.42,1.26,18,17,8,25.8,64.5,41.9,356,433,121,132,34.0,142,169,278,307,48,1,LDWWL,7,1544,2.46,3.71,5,8,7,11
7,Preston,31,12,11,8,38,34,4,47,1.52,16,7,5,4,20,16,1.62,15,5,6,4,18,18,1.4,1.23,1.1,17,18,9,29.0,54.8,41.9,342,423,114,123,33.3,129,198,336,300,65,3,LLLDW,4,1525,2.68,3.98,5,6,7,13
8,Bristol City,31,13,7,11,43,38,5,46,1.48,16,7,3,6,25,20,1.5,15,6,4,5,18,18,1.47,1.39,1.23,24,20,11,35.5,41.9,45.2,404,396,130,125,32.2,158,144,300,370,48,0,DLWLW,7,1511,2.08,3.16,8,10,5,8
9,Southampton,32,12,10,10,48,44,4,46,1.44,15,7,5,3,20,13,1.73,17,5,5,7,28,31,1.18,1.5,1.38,23,16,7,21.9,71.9,59.4,457,414,164,114,35.9,177,154,351,398,62,1,WDWWW,13,1536,1.92,2.49,10,16,1,4
10,Birmingham,32,12,10,10,43,39,4,46,1.44,16,8,7,1,30,15,1.94,16,4,3,9,13,24,0.94,1.34,1.22,19,23,8,25.0,56.2,46.9,464,332,124,110,26.7,184,134,362,336,58,4,WDWWD,11,1519,1.87,2.66,12,12,0,8
11,Derby,31,12,9,10,45,39,6,45,1.45,16,4,6,6,19,23,1.12,15,8,3,4,26,16,1.8,1.45,1.26,21,16,7,22.6,71.0,51.6,311,383,102,124,32.8,148,178,374,305,69,3,WWDWL,10,1526,2.71,3.87,4,7,8,12
12,Watford,31,11,11,9,39,36,3,44,1.42,16,8,5,3,24,17,1.81,15,3,6,6,15,19,1.0,1.26,1.16,18,22,5,16.1,61.3,45.2,429,344,139,110,32.4,151,166,324,313,61,3,DDLDL,3,1510,2.16,3.65,6,8,5,12
13,QPR,31,12,8,11,42,43,-1,44,1.42,15,8,2,5,28,21,1.73,16,4,6,6,14,22,1.12,1.35,1.39,18,21,9,29.0,67.7,61.3,398,360,120,113,30.2,152,160,319,309,51,1,DDLWD,6,1498,2.52,3.41,4,8,8,11
14,Stoke,32,12,7,13,34,29,5,43,1.34,15,6,3,6,19,14,1.4,17,6,4,7,15,15,1.29,1.06,0.91,15,12,12,37.5,34.4,37.5,352,391,121,122,34.4,180,152,338,318,64,3,LDLDL,2,1465,2.37,3.31,7,6,5,14
15,Swansea,31,12,6,13,38,37,1,42,1.35,16,8,4,4,24,18,1.75,15,4,2,9,14,19,0.93,1.23,1.19,12,19,9,29.0,54.8,48.4,386,373,123,136,31.9,154,147,310,400,63,1,DWLWW,10,1504,2.29,3.67,8,6,4,13
16,Norwich,32,11,6,15,42,42,0,39,1.22,15,5,1,9,16,20,1.07,17,6,5,6,26,22,1.35,1.31,1.31,19,15,5,15.6,62.5,50.0,378,416,124,127,32.8,154,175,320,351,58,1,WWLWW,12,1515,2.39,3.65,4,9,7,12
17,Sheffield United,31,12,3,16,44,45,-1,39,1.26,15,7,2,6,25,17,1.53,16,5,1,10,19,28,1.0,1.42,1.45,23,15,7,22.6,48.4,58.1,412,376,131,128,31.8,228,143,330,341,43,4,LWDWL,7,1492,1.98,2.91,9,13,3,6
18,Charlton,31,10,9,12,30,38,-8,39,1.26,15,7,4,4,16,14,1.67,16,3,5,8,14,24,0.88,0.97,1.23,11,18,11,35.5,45.2,38.7,351,486,113,119,32.2,135,156,371,295,63,1,LLWDW,7,1483,2.69,4.06,6,4,4,16
19,Leicester,32,10,8,14,44,51,-7,38,1.19,16,6,4,6,23,23,1.38,16,4,4,8,21,28,1.0,1.38,1.59,24,27,3,9.4,78.1,65.6,371,422,115,145,31.0,157,175,360,352,58,4,DLLLL,1,1432,2.19,3.05,8,13,2,9
