Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,Cardiff,30,19,6,5,55,29,26,63,2.1,15,12,1,2,35,16,2.47,15,7,5,3,20,13,1.73,1.83,0.97,19,13,12,40.0,53.3,56.7,425,366,152,101,35.8,154,136,304,345,53,1,WDWDW,11,1630,1.68,2.41,18,9,1,2
2,Lincoln,30,18,7,5,52,30,22,61,2.03,15,11,3,1,31,14,2.4,15,7,4,4,21,16,1.67,1.73,1.0,28,12,10,33.3,53.3,53.3,340,354,121,102,35.6,115,160,394,313,66,3,DWWWW,13,1641,2.16,2.76,16,7,2,5
3,Bolton,31,15,10,6,41,29,12,55,1.77,16,11,4,1,29,11,2.31,15,4,6,5,12,18,1.2,1.32,0.94,17,11,10,32.3,54.8,41.9,517,268,151,75,29.2,200,118,323,363,48,1,DWWWW,13,1582,1.56,2.25,14,14,1,2
4,Stockport,30,15,8,7,42,35,7,53,1.77,16,8,4,4,22,19,1.75,14,7,4,3,20,16,1.79,1.4,1.17,20,15,9,30.0,60.0,53.3,372,333,127,101,34.1,147,136,356,304,42,4,WDWWD,11,1567,1.87,2.52,11,12,4,3
5,Huddersfield,31,14,7,10,53,42,11,49,1.58,16,9,5,2,31,15,2.0,15,5,2,8,22,27,1.13,1.71,1.35,23,18,10,32.3,61.3,61.3,394,323,148,117,37.6,198,147,375,387,52,4,LWWWD,10,1539,1.88,2.61,13,11,1,6
6,Bradford,29,14,7,8,37,33,4,49,1.69,14,10,2,2,22,12,2.29,15,4,5,6,15,21,1.13,1.28,1.14,17,19,9,31.0,58.6,58.6,346,353,107,118,30.9,147,137,352,368,63,0,LLLWL,3,1531,2.18,2.99,11,7,3,8
7,Luton,30,13,6,11,40,35,5,45,1.5,16,9,4,3,24,14,1.94,14,4,2,8,16,21,1.0,1.33,1.17,17,15,11,36.7,40.0,50.0,376,284,116,91,30.9,188,120,344,344,45,0,DLLWW,7,1524,1.83,2.33,12,16,1,1
8,Peterboro,31,14,2,15,45,41,4,44,1.42,16,7,2,7,27,19,1.44,15,7,0,8,18,22,1.4,1.45,1.32,19,18,8,25.8,48.4,54.8,362,399,121,136,33.4,134,173,308,442,64,2,WLLWW,9,1523,2.76,3.75,5,3,9,14
9,Wycombe,30,11,10,9,40,31,9,43,1.43,16,9,3,4,30,15,1.88,14,2,7,5,10,16,0.93,1.33,1.03,19,19,10,33.3,50.0,43.3,379,311,126,93,33.2,151,137,311,328,48,0,WLWDW,10,1537,2.02,2.47,9,14,2,5
10,Reading,30,11,10,9,43,39,4,43,1.43,15,7,5,3,20,16,1.73,15,4,5,6,23,23,1.13,1.43,1.3,18,13,7,23.3,66.7,46.7,355,349,122,110,34.4,124,148,335,321,63,0,DDWLW,8,1531,2.35,3.49,6,8,5,11
11,Stevenage,29,11,9,9,31,30,1,42,1.45,13,6,6,1,14,7,1.85,16,5,3,8,17,23,1.12,1.07,1.03,11,11,10,34.5,48.3,37.9,281,299,97,91,34.5,141,109,365,354,65,0,DDWLL,5,1486,2.22,3.25,6,8,5,10
12,Mansfield,29,10,9,10,37,32,5,39,1.34,15,6,4,5,22,14,1.47,14,4,5,5,15,18,1.21,1.28,1.1,14,14,9,31.0,58.6,48.3,319,350,97,113,30.4,131,134,328,317,46,2,DDDDL,4,1501,2.67,3.58,5,7,5,12
13,Exeter,29,11,5,13,33,30,3,38,1.31,13,7,2,4,20,12,1.77,16,4,3,9,13,18,0.94,1.14,1.03,13,17,10,34.5,34.5,41.4,291,348,98,101,33.7,129,156,354,286,61,0,WWDLD,8,1505,2.77,4.43,3,2,8,16
14,AFC Wimbledon,29,11,5,13,32,38,-6,38,1.31,14,5,3,6,13,12,1.29,15,6,2,7,19,26,1.33,1.1,1.31,12,13,6,20.7,44.8,44.8,287,341,78,99,27.2,116,149,364,316,43,3,LDLWW,7,1460,2.75,4.13,1,4,10,14
