Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,Bromley,30,18,8,4,54,32,22,62,2.07,14,9,5,0,30,16,2.29,16,9,3,4,24,16,1.88,1.8,1.07,22,16,10,33.3,60.0,60.0,392,331,138,114,35.2,158,145,343,349,58,1,DWDWW,11,1653,2.07,2.76,14,4,4,8
2,Swindon,31,18,4,9,52,34,18,58,1.87,16,10,3,3,29,16,2.06,15,8,1,6,23,18,1.67,1.68,1.1,27,17,11,35.5,51.6,61.3,381,377,150,112,39.4,166,171,332,326,59,3,LWWWW,12,1570,1.9,2.66,16,7,2,6
3,Notts County,30,17,6,7,46,30,16,57,1.9,16,10,3,3,28,15,2.06,14,7,3,4,18,15,1.71,1.53,1.0,20,13,9,30.0,60.0,53.3,329,289,122,95,37.1,142,134,341,393,62,1,WWWWW,15,1610,2.01,2.81,13,8,4,5
4,Cambridge,30,16,8,6,42,24,18,56,1.87,14,10,3,1,23,9,2.36,16,6,5,5,19,15,1.44,1.4,0.8,17,11,12,40.0,46.7,36.7,330,248,108,87,32.7,163,98,347,367,44,1,WWWLW,12,1610,1.91,2.69,13,7,3,6
5,Milton Keynes Dons,30,15,9,6,59,33,26,54,1.8,15,8,4,3,29,15,1.87,15,7,5,3,30,18,1.73,1.97,1.1,34,14,9,30.0,63.3,60.0,355,317,133,103,37.5,128,136,387,347,61,3,WWWDW,13,1594,1.78,2.37,13,11,2,4
6,Salford,29,16,4,9,41,35,6,52,1.79,14,8,3,3,21,17,1.93,15,8,1,6,20,18,1.67,1.41,1.21,20,16,7,24.1,51.7,44.8,415,343,139,123,33.5,174,123,378,360,63,1,WWLWL,9,1570,1.9,2.72,12,8,4,5
7,Walsall,30,14,7,9,38,31,7,49,1.63,15,7,3,5,18,16,1.6,15,7,4,4,20,15,1.67,1.27,1.03,18,16,9,30.0,50.0,40.0,319,347,115,111,36.1,136,152,371,349,53,2,DDDLL,3,1513,2.14,2.69,10,9,4,7
8,Grimsby,30,13,9,8,42,32,10,48,1.6,15,7,3,5,21,13,1.6,15,6,6,3,21,19,1.6,1.4,1.07,21,15,12,40.0,43.3,40.0,424,302,138,97,32.5,188,129,325,427,47,1,WWDDW,11,1559,1.94,2.62,7,12,5,5
9,Chesterfield,30,12,12,6,49,41,8,48,1.6,14,6,6,2,25,15,1.71,16,6,6,4,24,26,1.5,1.63,1.37,19,22,8,26.7,66.7,50.0,334,328,118,112,35.3,154,158,314,364,54,1,DLWDW,8,1564,2.04,2.73,8,14,4,4
10,Crewe,31,13,8,10,47,38,9,47,1.52,15,8,4,3,27,19,1.87,16,5,4,7,20,19,1.19,1.52,1.23,26,21,5,16.1,61.3,51.6,377,415,124,137,32.9,155,139,381,445,56,1,LDWDW,8,1529,2.05,3.23,8,10,4,8
11,Barnet,30,12,10,8,40,31,9,46,1.53,15,6,4,5,23,19,1.47,15,6,6,3,17,12,1.6,1.33,1.03,20,18,11,36.7,50.0,40.0,436,292,151,97,34.6,215,99,346,389,45,5,WWDDW,11,1539,1.78,2.28,10,15,2,1
12,Colchester,29,12,9,8,43,31,12,45,1.55,15,7,4,4,24,15,1.67,14,5,5,4,19,16,1.43,1.48,1.07,25,16,8,27.6,55.2,31.0,346,306,119,99,34.4,120,123,333,428,52,1,WWLLW,9,1542,2.1,2.99,7,9,5,7
13,Accrington,30,12,7,11,35,31,4,43,1.43,15,8,3,4,20,13,1.8,15,4,4,7,15,18,1.07,1.17,1.03,17,14,9,30.0,43.3,33.3,381,348,127,112,33.3,137,145,348,334,63,1,DWWWL,10,1534,2.66,3.86,6,2,6,15
14,Gillingham,29,10,11,8,40,36,4,41,1.41,15,6,6,3,22,19,1.6,14,4,5,5,18,17,1.21,1.38,1.24,14,17,7,24.1,62.1,44.8,388,371,130,114,33.5,147,129,383,308,66,3,WWLLW,9,1501,2.3,3.1,7,6,3,12
15,Fleetwood Town,29,10,7,12,38,39,-1,37,1.28,15,6,4,5,24,23,1.47,14,4,3,7,14,16,1.07,1.31,1.34,15,20,4,13.8,72.4,55.2,347,413,124,114,35.7,126,159,375,325,54,2,LLWLL,3,1461,2.52,3.49,8,6,2,13
16,Oldham,28,8,11,9,28,29,-1,35,1.25,14,4,6,4,15,14,1.29,14,4,5,5,13,15,1.21,1.0,1.04,10,17,10,35.7,42.9,42.9,384,315,125,105,32.6,154,135,383,339,54,3,DWLLL,4,1488,2.23,3.24,6,10,2,10
17,Tranmere,30,8,8,14,43,51,-8,32,1.07,15,3,5,7,17,25,0.93,15,5,3,7,26,26,1.2,1.43,1.7,16,19,6,20.0,66.7,56.7,384,418,121,135,31.5,123,185,376,318,61,0,LLLLL,0,1425,2.53,3.68,6,5,2,17
18,Cheltenham,29,9,3,17,29,51,-22,30,1.03,15,6,1,8,16,19,1.27,14,3,2,9,13,32,0.79,1.0,1.76,10,21,7,24.1,44.8,44.8,295,447,86,164,29.2,127,169,349,340,50,2,WLLLL,3,1427,3.25,5.02,1,1,8,19
19,Bristol Rvs,30,8,3,19,28,50,-22,27,0.9,16,5,1,10,15,25,1.0,14,3,2,9,13,25,0.79,0.93,1.67,13,18,6,20.0,40.0,53.3,325,350,88,119,27.1,153,138,388,332,66,4,LLWWL,6,1397,2.41,3.51,6,7,2,15
20,Crawley Town,31,6,8,17,32,51,-19,26,0.84,16,4,5,7,20,22,1.06,15,2,3,10,12,29,0.6,1.03,1.65,14,15,6,19.4,51.6,54.8,416,389,133,146,32.0,176,206,387,431,71,3,WDWLL,7,1406,2.45,3.84,5,6,1,19
21,Shrewsbury,30,6,8,16,25,50,-25,26,0.87,15,5,5,5,13,16,1.33,15,1,3,11,12,34,0.4,0.83,1.67,11,21,8,26.7,46.7,46.7,347,361,89,136,25.6,126,124,356,325,75,2,LLDLW,4,1406,2.6,4.29,4,8,2,16
22,Barrow,29,6,6,17,30,46,-16,24,0.83,13,2,3,8,10,21,0.69,16,4,3,9,20,25,0.94,1.03,1.59,16,21,4,13.8,62.1,65.5,322,418,96,150,29.8,133,164,314,253,54,5,LLLLL,0,1377,2.8,3.91,0,7,6,16
23,Newport County,30,5,6,19,29,56,-27,21,0.7,15,2,4,9,14,26,0.67,15,3,2,10,15,30,0.73,0.97,1.87,10,25,5,16.7,53.3,56.7,309,424,104,139,33.7,96,166,351,360,52,3,WLLDL,4,1380,3.79,5.41,0,1,5,24
24,Harrogate,31,5,6,20,22,50,-28,21,0.68,16,3,1,12,11,29,0.62,15,2,5,8,11,21,0.73,0.71,1.61,9,21,4,12.9,41.9,35.5,330,517,98,155,29.7,124,194,342,341,54,2,LLLLW,3,1346,3.66,5.26,0,1,5,25
