Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,Rochdale,29,24,1,4,56,19,37,73,2.52,15,13,0,2,32,9,2.6,14,11,1,2,24,10,2.43,1.93,0.66,30,8,16,55.2,44.8,55.2,0,0,0,0,0.0,0,0,0,0,42,0,WWWWW,15,1693,1.61,2.18,21,4,2,1
2,York,31,21,8,2,81,31,50,71,2.29,17,11,4,2,52,18,2.18,14,10,4,0,29,13,2.43,2.61,1.0,34,17,10,32.3,64.5,74.2,0,0,0,0,0.0,0,0,0,0,55,1,WWWWW,15,1689,1.47,1.88,21,7,0,2
3,Carlisle,31,19,5,7,55,37,18,62,2.0,17,11,3,3,36,20,2.12,14,8,2,4,19,17,1.86,1.77,1.19,24,19,11,35.5,48.4,54.8,0,0,0,0,0.0,0,0,0,0,60,1,DLWLW,7,1611,1.77,2.43,16,8,2,4
4,Boreham Wood,30,18,5,7,58,36,22,59,1.97,16,11,1,4,27,17,2.12,14,7,4,3,31,19,1.79,1.93,1.2,29,15,11,36.7,60.0,70.0,0,0,0,0,0.0,0,0,0,0,41,3,LLLLW,3,1579,1.81,2.66,17,4,0,8
5,Scunthorpe,29,17,8,4,54,34,20,59,2.03,14,10,3,1,27,11,2.36,15,7,5,3,27,23,1.73,1.86,1.17,26,13,5,17.2,75.9,58.6,0,0,0,0,0.0,0,0,0,0,60,3,DWWWL,10,1623,1.95,3.23,9,7,8,4
6,Forest Green,32,16,10,6,54,35,19,58,1.81,16,10,5,1,30,14,2.19,16,6,5,5,24,21,1.44,1.69,1.09,25,21,8,25.0,68.8,50.0,0,0,0,0,0.0,0,0,0,0,51,3,DLWLL,4,1566,1.68,2.12,15,13,0,3
7,Halifax,31,14,6,11,48,43,5,48,1.55,14,8,4,2,28,15,2.0,17,6,2,9,20,28,1.18,1.55,1.39,20,16,6,19.4,64.5,64.5,0,0,0,0,0.0,0,0,0,0,61,3,WWWLD,10,1534,2.34,3.68,10,6,4,9
8,Southend,28,13,7,8,44,26,18,46,1.64,12,7,3,2,21,7,2.0,16,6,4,6,23,19,1.38,1.57,0.93,17,7,12,42.9,50.0,50.0,0,0,0,0,0.0,0,0,0,0,48,1,DWDLL,5,1544,1.64,2.16,13,11,0,3
9,Hartlepool,32,11,12,9,35,33,2,45,1.41,16,6,6,4,19,15,1.5,16,5,6,5,16,18,1.31,1.09,1.03,13,13,13,40.6,43.8,34.4,0,0,0,0,0.0,0,0,0,0,47,3,WDLDL,5,1497,1.94,3.39,7,13,3,7
10,Solihull,31,11,8,12,52,47,5,41,1.32,17,6,4,7,35,29,1.29,14,5,4,5,17,18,1.36,1.68,1.52,25,17,8,25.8,51.6,51.6,0,0,0,0,0.0,0,0,0,0,49,5,DLWLL,4,1500,2.72,4.53,4,5,7,14
11,Woking,29,10,8,11,40,33,7,38,1.31,14,3,6,5,19,15,1.07,15,7,2,6,21,18,1.53,1.38,1.14,17,13,8,27.6,48.3,41.4,0,0,0,0,0.0,0,0,0,0,51,0,LWLLW,6,1506,2.79,3.73,4,5,6,13
12,Tamworth,30,10,7,13,36,50,-14,37,1.23,15,5,4,6,16,17,1.27,15,5,3,7,20,33,1.2,1.2,1.67,17,22,4,13.3,70.0,56.7,0,0,0,0,0.0,0,0,0,0,54,2,WDLDD,6,1454,2.32,4.06,6,6,4,13
13,Boston Utd,32,9,9,14,37,46,-9,36,1.12,16,4,3,9,15,25,0.94,16,5,6,5,22,21,1.31,1.16,1.44,13,17,6,18.8,59.4,53.1,0,0,0,0,0.0,0,0,0,0,63,0,LDWWW,10,1461,2.95,4.22,3,7,5,16
14,Wealdstone,29,9,9,11,37,46,-9,36,1.24,13,6,4,3,18,17,1.69,16,3,5,8,19,29,0.88,1.28,1.59,13,29,6,20.7,58.6,48.3,0,0,0,0,0.0,0,0,0,0,56,1,LLWDL,4,1467,2.87,3.48,6,5,3,14
15,Eastleigh,31,9,8,14,39,51,-12,35,1.13,14,4,4,6,19,26,1.14,17,5,4,8,20,25,1.12,1.26,1.65,14,17,3,9.7,67.7,51.6,0,0,0,0,0.0,0,0,0,0,63,3,LLLDW,4,1450,2.64,4.09,3,7,6,13
16,Yeovil,29,10,4,15,30,39,-9,34,1.17,14,5,3,6,15,20,1.29,15,5,1,9,15,19,1.07,1.03,1.34,14,15,7,24.1,41.4,41.4,0,0,0,0,0.0,0,0,0,0,72,2,DWLWL,7,1457,3.14,3.87,5,2,5,16
