Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,Paris SG,21,16,3,2,48,16,32,51,2.43,10,9,1,0,27,4,2.8,11,7,2,2,21,12,2.09,2.29,0.76,21,7,11,52.4,38.1,52.4,367,179,142,62,38.7,129,62,213,191,22,1,WWWWW,15,1658,1.26,1.51,16,5,0,0
2,Lens,21,16,1,4,37,17,20,49,2.33,11,10,0,1,21,5,2.73,10,6,1,3,16,12,1.9,1.76,0.81,16,11,8,38.1,47.6,61.9,290,248,105,70,36.2,116,89,294,275,43,4,WWLWW,12,1634,1.91,2.95,13,2,3,3
3,Lyon,21,13,3,5,34,20,14,42,2.0,10,8,0,2,17,7,2.4,11,5,3,3,17,13,1.64,1.62,0.95,19,8,11,52.4,42.9,52.4,260,232,102,72,39.2,120,98,294,284,39,6,WWWWW,15,1583,2.05,2.51,9,6,4,2
4,Marseille,21,12,3,6,46,27,19,39,1.86,10,7,2,1,27,11,2.3,11,5,1,5,19,16,1.45,2.19,1.29,20,10,6,28.6,47.6,66.7,301,211,121,87,40.2,103,77,265,230,42,4,LWWDL,7,1564,1.73,2.43,11,7,1,2
5,Lille,21,10,3,8,34,30,4,33,1.57,10,6,1,3,17,12,1.9,11,4,2,5,17,18,1.27,1.62,1.43,9,11,6,28.6,38.1,42.9,302,213,98,80,32.5,126,85,247,283,45,6,LLLLD,1,1509,2.21,2.83,9,7,1,4
6,Rennes,21,8,7,6,31,34,-3,31,1.48,10,5,3,2,19,11,1.8,11,3,4,4,12,23,1.18,1.48,1.62,13,12,5,23.8,57.1,61.9,280,285,94,90,33.6,117,103,259,257,37,4,WDLLL,4,1518,2.33,3.5,3,9,5,4
7,Strasbourg,21,9,3,9,34,27,7,30,1.43,10,6,1,3,17,7,1.9,11,3,2,6,17,20,1.0,1.62,1.29,14,9,7,33.3,57.1,61.9,234,239,91,85,38.9,80,88,243,276,42,5,DWWLL,7,1488,2.32,3.78,6,4,3,8
8,Toulouse,21,8,6,7,31,24,7,30,1.43,11,4,4,3,19,15,1.45,10,4,2,4,12,9,1.4,1.48,1.14,11,10,8,38.1,38.1,47.6,257,241,89,73,34.6,94,110,302,260,46,2,LWWDL,7,1506,2.58,3.46,5,9,3,4
9,Angers,21,8,5,8,22,25,-3,29,1.38,11,6,2,3,16,12,1.82,10,2,3,5,6,13,0.9,1.05,1.19,8,12,8,38.1,38.1,28.6,201,296,75,108,37.3,78,109,232,244,30,1,LLDWW,7,1504,3.46,8.46,5,0,3,13
10,Monaco,21,8,4,9,32,33,-1,28,1.33,11,6,1,4,22,18,1.73,10,2,3,5,10,15,0.9,1.52,1.57,11,12,5,23.8,57.1,57.1,260,276,86,93,33.1,100,91,283,240,47,5,LLDWD,5,1477,2.06,2.14,7,12,1,1
11,Lorient,21,7,7,7,27,33,-6,28,1.33,10,5,4,1,20,16,1.9,11,2,3,6,7,17,0.82,1.29,1.57,11,11,4,19.0,52.4,42.9,246,222,81,83,32.9,69,111,212,306,37,1,DWWWL,10,1513,3.73,4.36,2,2,5,12
12,Brest,21,7,5,9,28,33,-5,26,1.24,11,5,3,3,16,13,1.64,10,2,2,6,12,20,0.8,1.33,1.57,14,18,6,28.6,47.6,57.1,247,262,83,93,33.6,92,108,288,252,38,3,WLLDW,7,1488,3.15,4.01,4,2,3,12
13,Le Havre,21,5,8,8,18,26,-8,23,1.1,11,4,5,2,13,10,1.55,10,1,3,6,5,16,0.6,0.86,1.24,6,11,6,28.6,47.6,38.1,236,255,79,80,33.5,100,97,289,287,37,1,WDDLW,8,1478,3.09,6.62,2,3,3,13
14,Nice,21,6,5,10,27,38,-11,23,1.1,11,4,4,3,14,14,1.45,10,2,1,7,13,24,0.7,1.29,1.81,16,18,3,14.3,66.7,57.1,247,324,89,114,36.0,107,118,268,263,48,2,DLWDD,6,1450,2.44,3.99,4,7,2,8
15,Paris FC,21,5,7,9,26,34,-8,22,1.05,10,2,4,4,14,17,1.0,11,3,3,5,12,17,1.09,1.24,1.62,11,16,5,23.8,61.9,57.1,239,243,73,78,30.5,89,102,241,242,41,2,LWDDD,6,1457,2.26,5.15,3,6,2,10
16,Auxerre,21,3,5,13,14,29,-15,14,0.67,11,3,2,6,10,12,1.0,10,0,3,7,4,17,0.3,0.67,1.38,6,12,5,23.8,33.3,33.3,224,249,68,101,30.4,105,98,284,296,47,6,LLLDD,2,1400,4.09,5.67,2,2,1,16
17,Nantes,21,3,5,13,19,37,-18,14,0.67,11,1,2,8,10,22,0.45,10,2,3,5,9,15,0.9,0.9,1.76,10,15,3,14.3,52.4,47.6,220,308,61,106,27.7,67,121,263,286,43,1,WLLLL,3,1383,4.0,5.66,1,2,2,16
18,Metz,21,3,4,14,21,46,-25,13,0.62,10,2,3,5,9,15,0.9,11,1,1,9,12,31,0.36,1.0,2.19,9,22,4,19.0,52.4,57.1,186,314,63,125,33.9,81,106,229,234,33,4,DLLLD,2,1389,4.97,5.69,0,2,3,16
