Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,AEK,20,15,3,2,37,13,24,48,2.4,10,8,1,1,17,5,2.5,10,7,2,1,20,8,2.3,1.85,0.65,12,6,11,55.0,35.0,35.0,303,180,97,58,32.0,107,58,321,272,53,3,DWWDW,11,1639,1.57,1.84,14,3,1,1
2,Olympiakos,20,14,4,2,38,10,28,46,2.3,10,8,1,1,22,5,2.5,10,6,3,1,16,5,2.1,1.9,0.5,14,2,12,60.0,35.0,40.0,353,128,117,48,33.1,147,43,266,261,29,2,WWDWL,10,1618,1.25,1.65,14,4,0,1
3,PAOK,19,14,3,2,41,13,28,45,2.37,10,9,1,0,22,3,2.8,9,5,2,2,19,10,1.89,2.16,0.68,22,9,11,57.9,36.8,63.2,288,120,103,45,35.8,112,50,220,251,30,1,WWWWD,13,1623,1.42,1.89,13,4,1,1
4,Levadeiakos,20,11,5,4,49,25,24,38,1.9,10,7,1,2,30,11,2.2,10,4,4,2,19,14,1.6,2.45,1.25,21,14,5,25.0,70.0,70.0,252,246,101,70,40.1,105,86,250,328,36,1,WWDWL,10,1568,2.56,4.1,11,3,0,6
5,Panathinaikos,19,9,5,5,28,21,7,32,1.68,9,6,2,1,17,7,2.22,10,3,3,4,11,14,1.2,1.47,1.11,15,9,7,36.8,47.4,52.6,238,165,85,58,35.7,89,55,282,296,47,2,WLDWW,10,1558,1.8,2.42,8,7,1,3
6,Aris,20,6,8,6,17,20,-3,26,1.3,10,2,7,1,9,8,1.3,10,4,1,5,8,12,1.3,0.85,1.0,8,7,7,35.0,45.0,30.0,255,218,77,74,30.2,103,81,301,295,49,2,DLDWD,6,1511,3.0,4.06,6,6,0,8
7,Volos NFC,20,8,1,11,19,29,-10,25,1.25,9,4,1,4,8,12,1.44,11,4,0,7,11,17,1.09,0.95,1.45,11,13,4,20.0,40.0,45.0,215,257,72,86,33.5,77,114,309,312,63,1,LLLLL,0,1450,3.81,7.24,3,3,5,9
8,OFI Crete,19,8,0,11,25,33,-8,24,1.26,10,5,0,5,17,12,1.5,9,3,0,6,8,21,1.0,1.32,1.74,14,14,5,26.3,42.1,78.9,173,294,64,97,37.0,57,110,266,306,49,5,WLWWW,12,1486,3.24,7.52,4,4,4,7
9,Atromitos,20,5,5,10,19,24,-5,20,1.0,10,1,3,6,8,13,0.6,10,4,2,4,11,11,1.4,0.95,1.2,11,9,6,30.0,40.0,40.0,201,253,56,80,27.9,73,88,315,296,53,1,LWDLW,7,1457,3.96,6.69,1,7,4,7
10,Kifisia,19,4,7,8,24,30,-6,19,1.0,9,2,3,4,11,12,1.0,10,2,4,4,13,18,1.0,1.26,1.58,12,10,2,10.5,68.4,57.9,253,258,91,91,36.0,83,106,334,273,76,7,DDLLL,2,1441,5.1,6.64,1,5,3,10
11,Larisa,20,4,7,9,19,32,-13,19,0.95,11,2,4,5,10,19,0.91,9,2,3,4,9,13,1.0,0.95,1.6,9,17,5,25.0,50.0,40.0,235,266,81,91,34.5,70,98,333,294,71,3,DWWWL,10,1442,4.31,5.16,1,4,3,11
12,Panetolikos,20,5,3,12,19,33,-14,18,0.9,10,2,0,8,10,21,0.6,10,3,3,4,9,12,1.2,0.95,1.65,8,18,4,20.0,35.0,45.0,163,301,50,100,30.7,65,106,266,272,48,6,LLLLW,3,1424,5.43,6.43,1,1,3,14
13,Asteras Tripolis,20,3,7,10,18,30,-12,16,0.8,10,2,5,3,14,14,1.1,10,1,2,7,4,16,0.5,0.9,1.5,8,15,5,25.0,40.0,45.0,189,265,70,83,37.0,97,101,274,328,64,2,LLLLW,3,1431,4.01,6.05,2,4,1,13
14,Panserraikos,20,2,2,16,10,50,-40,8,0.4,10,2,1,7,5,21,0.7,10,0,1,9,5,29,0.1,0.5,2.5,3,25,0,0.0,35.0,60.0,162,329,40,123,24.7,45,134,291,244,58,8,LWLLL,3,1351,5.82,11.22,0,1,2,16
