Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,Inter,24,19,1,4,57,19,38,58,2.42,12,9,1,2,33,10,2.33,12,10,0,2,24,9,2.5,2.38,0.79,25,9,13,54.2,41.7,58.3,442,200,151,63,34.2,164,68,335,285,35,0,WWWWW,15,1668,1.42,1.76,19,5,0,0
2,Milan,23,14,8,1,38,17,21,50,2.17,11,7,3,1,17,9,2.18,12,7,5,0,21,8,2.17,1.65,0.74,15,8,11,47.8,52.2,47.8,313,258,106,80,33.9,108,106,221,277,36,1,DWWDW,11,1638,1.62,2.34,13,7,1,2
3,Napoli,24,15,4,5,36,23,13,49,2.04,11,8,3,0,19,9,2.45,13,7,1,5,17,14,1.69,1.5,0.96,19,9,9,37.5,45.8,50.0,318,265,110,70,34.6,127,66,291,322,34,2,DWLWW,10,1602,1.8,2.56,13,6,2,3
4,Juventus,24,13,7,4,41,20,21,46,1.92,12,7,5,0,25,10,2.17,12,6,2,4,16,10,1.67,1.71,0.83,16,10,9,37.5,50.0,45.8,406,236,146,64,36.0,129,93,313,250,30,1,WLWWD,10,1593,1.77,2.01,12,9,1,2
5,Roma,24,15,1,8,29,14,15,46,1.92,12,8,1,3,16,6,2.08,12,7,0,5,13,8,1.75,1.21,0.58,13,6,11,45.8,25.0,20.8,328,232,117,84,35.7,122,76,355,354,46,1,WWDLW,10,1565,1.99,2.47,15,5,0,4
6,Como,23,11,8,4,37,16,21,41,1.78,12,6,5,1,20,7,1.92,11,5,3,3,17,9,1.64,1.61,0.7,14,6,12,52.2,34.8,39.1,335,228,123,82,36.7,95,77,317,285,52,2,DLWWD,8,1574,2.02,3.18,8,6,3,6
7,Atalanta,24,10,9,5,32,21,11,39,1.62,13,7,4,2,20,10,1.92,11,3,5,3,12,11,1.27,1.33,0.88,16,10,9,37.5,50.0,33.3,354,282,110,95,31.1,137,113,275,263,36,2,WDWDW,11,1557,1.88,2.41,10,10,0,4
8,Lazio,24,8,9,7,26,23,3,33,1.38,12,5,4,3,18,14,1.58,12,3,5,4,8,9,1.17,1.08,0.96,11,8,11,45.8,25.0,29.2,264,337,93,105,35.2,86,92,253,381,51,7,WLDWD,8,1513,2.33,3.72,7,9,1,7
9,Udinese,24,9,5,10,27,36,-9,32,1.33,12,4,4,4,12,16,1.33,12,5,1,6,15,20,1.33,1.12,1.5,12,17,5,20.8,58.3,50.0,283,302,88,97,31.1,104,113,346,291,44,2,DLWWL,7,1487,3.52,4.37,2,6,6,9
10,Bologna,24,8,6,10,32,31,1,30,1.25,12,4,2,6,12,14,1.17,12,4,4,4,20,17,1.33,1.33,1.29,13,12,6,25.0,50.0,50.0,319,254,93,93,29.2,115,96,349,357,49,5,WLLLL,3,1448,2.22,3.31,7,7,1,9
11,Sassuolo,24,8,5,11,27,34,-7,29,1.21,12,4,2,6,12,19,1.17,12,4,3,5,15,15,1.25,1.12,1.42,11,15,5,20.8,45.8,50.0,265,344,91,130,34.3,87,113,295,329,53,2,LLWWL,6,1472,3.63,5.31,3,5,5,11
12,Cagliari,24,7,7,10,28,33,-5,28,1.17,11,4,3,4,15,13,1.36,13,3,4,6,13,20,1.0,1.17,1.38,10,15,5,20.8,50.0,50.0,238,323,84,121,35.3,83,137,370,365,57,0,LWWWL,9,1480,3.94,5.95,3,2,4,15
13,Torino,24,7,6,11,24,42,-18,27,1.12,12,4,2,6,12,20,1.17,12,3,4,5,12,22,1.08,1.0,1.75,12,20,9,37.5,41.7,58.3,290,334,104,102,35.9,96,105,350,260,46,0,LLLWD,4,1453,3.1,5.11,3,4,4,13
14,Parma,24,6,8,10,16,30,-14,26,1.08,12,2,4,6,8,17,0.83,12,4,4,4,8,13,1.33,0.67,1.25,6,13,8,33.3,37.5,33.3,263,354,65,106,24.7,89,112,260,340,43,4,DDLLW,5,1472,4.29,5.28,1,3,5,15
15,Genoa,24,5,8,11,29,37,-8,23,0.96,13,3,4,6,14,18,1.0,11,2,4,5,15,19,0.91,1.21,1.54,12,17,4,16.7,66.7,62.5,272,324,96,104,35.3,82,124,333,365,51,2,WDWLL,7,1446,3.13,4.88,2,6,3,13
16,Cremonese,24,5,8,11,21,33,-12,23,0.96,11,2,5,4,11,15,1.0,13,3,3,7,10,18,0.92,0.88,1.38,9,18,6,25.0,45.8,37.5,210,409,73,136,34.8,76,156,317,312,49,1,LDLLL,1,1417,4.66,6.73,2,3,3,16
17,Lecce,24,5,6,13,15,31,-16,21,0.88,13,3,4,6,9,16,1.0,11,2,2,7,6,15,0.73,0.62,1.29,9,10,7,29.2,33.3,33.3,246,307,59,99,24.0,117,121,301,334,45,2,LLDLW,4,1420,4.03,7.87,1,2,4,17
18,Fiorentina,24,3,9,12,27,38,-11,18,0.75,12,2,4,6,17,19,0.83,12,1,5,6,10,19,0.67,1.12,1.58,9,15,3,12.5,70.8,62.5,338,319,89,115,26.3,116,112,310,401,53,1,DWLLD,5,1420,2.56,3.76,2,11,1,10
19,Pisa,24,1,12,11,19,40,-21,15,0.62,12,1,4,7,3,14,0.58,12,0,8,4,16,26,0.67,0.79,1.67,9,18,5,20.8,45.8,41.7,252,375,68,114,27.0,94,124,314,291,50,2,DDLLD,3,1399,4.48,6.76,1,2,0,21
