Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,Venezia,24,15,5,4,46,22,24,50,2.08,12,10,0,2,25,8,2.5,12,5,5,2,21,14,1.67,1.92,0.92,22,10,9,37.5,58.3,62.5,408,235,135,99,33.1,103,108,374,371,46,3,WWWWL,12,1628,1.74,2.31,14,8,1,1
2,Frosinone,24,14,7,3,44,22,22,49,2.04,11,7,2,2,22,9,2.09,13,7,5,1,22,13,2.0,1.83,0.92,24,8,9,37.5,54.2,54.2,385,358,132,114,34.3,124,108,406,370,59,4,DWDLW,8,1615,2.32,3.1,11,3,3,7
3,Monza,24,14,6,4,36,19,17,48,2.0,12,9,2,1,21,8,2.42,12,5,4,3,15,11,1.58,1.5,0.79,16,8,9,37.5,50.0,45.8,349,277,111,75,31.8,146,85,351,342,54,2,DWWWD,11,1601,1.71,2.5,11,9,3,1
4,Palermo,24,12,9,3,39,19,20,45,1.88,12,8,3,1,21,7,2.25,12,4,6,2,18,12,1.5,1.62,0.79,15,7,11,45.8,41.7,41.7,342,283,103,86,30.1,121,106,387,335,55,3,WDWWD,11,1589,1.77,2.34,12,11,0,1
5,Catanzaro,24,10,8,6,32,26,6,38,1.58,12,6,5,1,18,11,1.92,12,4,3,5,14,15,1.25,1.33,1.08,12,15,8,33.3,54.2,45.8,318,303,103,87,32.4,98,107,292,440,60,2,LDLWW,7,1545,2.42,3.72,6,5,4,9
6,Juve Stabia,24,9,11,4,29,27,2,38,1.58,12,6,6,0,16,8,2.0,12,3,5,4,13,19,1.17,1.21,1.12,18,9,9,37.5,45.8,45.8,288,248,93,80,32.3,107,94,405,342,62,3,WWDDW,11,1553,2.25,3.23,6,6,3,9
7,Modena,24,10,7,7,31,19,12,37,1.54,12,5,3,4,17,11,1.5,12,5,4,3,14,8,1.58,1.29,0.79,12,9,11,45.8,41.7,41.7,400,233,119,79,29.8,141,82,368,364,49,1,WDDLW,8,1519,1.96,2.68,8,13,2,1
8,Cesena,24,11,4,9,32,30,2,37,1.54,11,5,3,3,16,11,1.64,13,6,1,6,16,19,1.46,1.33,1.25,16,13,4,16.7,66.7,54.2,308,295,96,89,31.2,127,91,343,269,54,2,WLLWL,6,1493,2.05,2.93,7,8,4,5
9,Sudtirol,24,6,12,6,24,23,1,30,1.25,12,5,3,4,15,11,1.5,12,1,9,2,9,12,1.0,1.0,0.96,15,12,6,25.0,54.2,33.3,290,332,84,92,29.0,104,94,414,328,54,3,WWWDD,11,1520,2.5,3.79,5,5,1,13
10,Carrarese,24,7,9,8,31,33,-2,30,1.25,12,5,5,2,16,9,1.67,12,2,4,6,15,24,0.83,1.29,1.38,11,15,9,37.5,50.0,54.2,314,313,98,97,31.2,127,107,313,376,59,0,WWLDL,7,1486,2.37,4.06,4,7,3,9
