Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,PSV Eindhoven,22,19,2,1,66,26,40,59,2.68,11,8,2,1,36,16,2.36,11,11,0,0,30,10,3.0,3.0,1.18,36,13,6,27.3,68.2,81.8,378,246,155,80,41.0,161,94,236,194,32,1,WWDWW,13,1694,1.26,1.67,18,3,1,0
2,Feyenoord,22,13,3,6,52,32,20,42,1.91,11,7,1,3,29,18,2.0,11,6,2,3,23,14,1.82,2.36,1.45,25,13,7,31.8,59.1,68.2,375,243,142,94,37.9,161,79,211,244,35,4,DLWLW,7,1555,1.43,2.09,13,7,0,2
3,Nijmegen,22,12,5,5,57,38,19,41,1.86,11,7,2,2,30,17,2.09,11,5,3,3,27,21,1.64,2.59,1.73,21,21,3,13.6,81.8,86.4,351,257,148,107,42.2,115,91,263,288,39,3,WWWWL,12,1572,2.19,2.85,9,7,3,3
4,Ajax,22,10,9,3,42,29,13,39,1.77,11,7,2,2,19,9,2.09,11,3,7,1,23,20,1.45,1.91,1.32,23,13,5,22.7,72.7,59.1,337,294,139,104,41.2,112,105,230,274,39,1,WDWDD,9,1569,1.57,2.35,8,9,2,3
5,Sparta Rotterdam,22,11,3,8,29,36,-7,36,1.64,11,5,2,4,13,18,1.55,11,6,1,4,16,18,1.73,1.32,1.64,11,12,9,40.9,36.4,50.0,284,365,102,135,35.9,99,158,197,239,39,2,WWWWD,13,1541,2.79,4.21,5,3,6,8
6,Twente,22,8,10,4,36,24,12,34,1.55,11,5,4,2,18,11,1.73,11,3,6,2,18,13,1.36,1.64,1.09,12,6,6,27.3,59.1,40.9,418,217,147,71,35.2,120,85,253,227,37,3,DWDDW,9,1546,1.89,2.38,8,10,0,4
7,AZ Alkmaar,22,9,6,7,37,36,1,33,1.5,11,4,5,2,22,20,1.55,11,5,1,5,15,16,1.45,1.68,1.64,21,18,5,22.7,72.7,63.6,347,276,127,102,36.6,125,92,239,252,51,1,LDWLD,5,1501,1.73,2.04,8,11,1,2
8,Groningen,22,9,4,9,29,28,1,31,1.41,11,4,3,4,16,11,1.36,11,5,1,5,13,17,1.45,1.32,1.27,13,11,7,31.8,45.5,45.5,349,247,131,87,37.5,144,96,246,235,42,2,DWLLL,4,1488,2.26,4.19,6,6,3,7
9,Heerenveen,22,7,7,8,35,37,-2,28,1.27,11,3,5,3,18,19,1.27,11,4,2,5,17,18,1.27,1.59,1.68,14,16,2,9.1,68.2,68.2,349,247,118,107,33.8,125,106,253,230,34,2,DLDLW,5,1497,2.44,3.35,6,7,1,8
10,Utrecht,22,7,6,9,33,29,4,27,1.23,11,5,2,4,18,11,1.55,11,2,4,5,15,18,0.91,1.5,1.32,13,13,3,13.6,68.2,54.5,318,281,112,102,35.2,109,100,241,252,33,1,LLDLW,4,1478,2.24,3.24,5,10,2,5
11,For Sittard,22,7,5,10,33,38,-5,26,1.18,11,5,3,3,19,17,1.64,11,2,2,7,14,21,0.73,1.5,1.73,16,21,3,13.6,72.7,63.6,284,331,100,126,35.2,100,158,299,251,52,1,DLWLD,5,1471,3.45,5.2,1,1,6,14
12,Excelsior,22,7,5,10,24,37,-13,26,1.18,11,4,2,5,12,14,1.27,11,3,3,5,12,23,1.09,1.09,1.68,13,15,5,22.7,59.1,59.1,251,348,88,131,35.1,89,120,286,194,34,3,DDDDW,7,1486,3.62,6.2,3,2,4,13
13,Zwolle,22,7,5,10,31,45,-14,26,1.18,11,6,1,4,15,15,1.73,11,1,4,6,16,30,0.64,1.41,2.05,17,25,4,18.2,68.2,68.2,200,389,75,141,37.5,62,147,245,275,44,4,DWLWL,7,1468,3.46,5.91,3,3,3,12
14,Go Ahead Eagles,22,4,11,7,33,38,-5,23,1.05,11,3,6,2,17,16,1.36,11,1,5,5,16,22,0.73,1.5,1.73,15,18,3,13.6,72.7,63.6,263,397,117,129,44.5,127,113,215,224,37,3,DDDDL,4,1458,2.74,4.09,2,7,2,11
15,Volendam,22,5,6,11,24,37,-13,21,0.95,11,4,4,3,17,14,1.45,11,1,2,8,7,23,0.45,1.09,1.68,10,21,1,4.5,63.6,63.6,233,407,79,139,33.9,77,154,220,259,32,1,LWLDW,7,1443,3.72,8.46,1,1,4,16
16,Telstar,22,3,8,11,26,38,-12,17,0.77,11,1,4,6,17,23,0.64,11,2,4,5,9,15,0.91,1.18,1.73,10,16,3,13.6,63.6,50.0,285,350,98,138,34.4,115,133,242,236,28,2,LDLLD,2,1421,3.35,6.61,0,3,3,15
17,Heracles,22,5,2,15,31,57,-26,17,0.77,10,4,1,5,20,24,1.3,12,1,1,10,11,33,0.33,1.41,2.59,15,26,1,4.5,59.1,77.3,242,379,90,147,37.2,96,136,294,247,45,2,LLLWL,3,1411,3.77,7.03,2,1,3,16
18,NAC Breda,22,3,7,12,23,36,-13,16,0.73,12,3,3,6,14,18,1.0,10,0,4,6,9,18,0.4,1.05,1.64,10,17,2,9.1,54.5,54.5,297,287,93,121,31.3,118,88,242,291,40,5,DLDDL,3,1402,3.04,6.34,3,5,0,14
