Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,Porto,21,18,2,1,42,7,35,56,2.67,10,8,2,0,20,3,2.6,11,10,0,1,22,4,2.73,2.0,0.33,17,3,15,71.4,28.6,52.4,296,209,112,43,37.8,112,63,288,255,49,2,WWWLD,10,1674,1.47,1.58,17,3,1,0
2,Sp Lisbon,21,16,4,1,55,12,43,52,2.48,10,8,1,1,32,4,2.5,11,8,3,0,23,8,2.45,2.62,0.57,23,4,10,47.6,52.4,66.7,385,178,148,61,38.4,149,57,262,284,49,3,DWWWD,11,1662,1.27,1.65,16,4,0,1
3,Benfica,21,14,7,0,44,12,32,49,2.33,11,7,4,0,25,8,2.27,10,7,3,0,19,4,2.4,2.1,0.57,21,6,11,52.4,47.6,61.9,357,171,133,58,37.3,133,57,242,328,44,2,WWWDW,13,1645,1.36,1.61,14,5,0,2
4,Sp Braga,21,11,6,4,44,18,26,39,1.86,10,6,2,2,22,7,2.0,11,5,4,2,22,11,1.73,2.1,0.86,26,13,9,42.9,42.9,66.7,276,179,114,64,41.3,119,55,228,259,41,2,DWWWW,13,1582,1.59,2.54,11,7,0,3
5,Gil Vicente,21,10,7,4,31,17,14,37,1.76,10,6,2,2,17,7,2.0,11,4,5,2,14,10,1.55,1.48,0.81,17,10,10,47.6,38.1,38.1,300,209,98,72,32.7,122,82,296,313,55,4,DWLWW,10,1566,2.98,4.2,7,6,2,5
6,Famalicao,21,9,5,7,27,20,7,32,1.52,11,5,2,4,19,9,1.55,10,4,3,3,8,11,1.5,1.29,0.95,12,7,10,47.6,33.3,42.9,266,236,89,84,33.5,106,102,359,345,56,2,LWWLW,9,1504,2.8,2.93,9,7,0,4
7,Estoril,21,8,6,7,43,35,8,30,1.43,11,5,4,2,23,16,1.73,10,3,2,5,20,19,1.1,2.05,1.67,21,18,3,14.3,61.9,66.7,264,247,97,92,36.7,95,95,266,272,56,0,LWWWD,10,1528,3.03,4.95,5,6,3,7
8,Moreirense,21,9,3,9,27,29,-2,30,1.43,10,6,1,3,15,13,1.9,11,3,2,6,12,16,1.0,1.29,1.38,9,9,7,33.3,47.6,57.1,192,276,71,91,37.0,82,88,298,329,57,3,WLWLL,6,1482,3.96,4.77,6,0,3,12
9,Guimaraes,21,8,4,9,23,30,-7,28,1.33,11,5,3,3,15,14,1.64,10,3,1,6,8,16,1.0,1.1,1.43,12,12,7,33.3,38.1,42.9,278,258,76,97,27.3,93,75,320,321,53,3,WLLWL,6,1490,3.45,2.99,8,5,0,8
10,Alverca,21,7,3,11,21,36,-15,24,1.14,11,5,2,4,10,15,1.55,10,2,1,7,11,21,0.7,1.0,1.71,8,20,5,23.8,47.6,57.1,190,287,73,93,38.4,70,96,281,296,51,3,WWLDL,7,1465,4.2,7.32,4,3,3,11
11,Estrela,21,5,8,8,25,37,-12,23,1.1,11,3,4,4,14,17,1.18,10,2,4,4,11,20,1.0,1.19,1.76,12,17,5,23.8,47.6,52.4,224,280,73,99,32.6,66,112,315,319,57,3,DLLDW,5,1474,3.98,8.28,2,3,3,13
12,Arouca,21,6,5,10,26,46,-20,23,1.1,11,3,3,5,14,23,1.09,10,3,2,5,12,23,1.1,1.24,2.19,11,24,4,19.0,52.4,66.7,218,284,71,104,32.6,81,112,294,253,58,7,LWLWW,9,1466,4.4,5.2,2,3,4,12
13,Nacional,21,5,6,10,27,30,-3,21,1.0,10,3,2,5,16,17,1.1,11,2,4,5,11,13,0.91,1.29,1.43,11,11,4,19.0,61.9,52.4,255,316,84,96,32.9,89,131,316,251,60,5,DLWLD,5,1448,3.75,6.51,3,5,2,11
14,Rio Ave,21,4,8,9,22,41,-19,20,0.95,10,2,3,5,10,18,0.9,11,2,5,4,12,23,1.0,1.05,1.95,9,16,2,9.5,52.4,66.7,193,362,76,124,39.4,79,148,272,321,53,4,WLLLL,3,1436,4.04,6.11,3,3,1,14
15,Casa Pia,21,4,7,10,22,39,-17,19,0.9,10,1,5,4,12,19,0.8,11,3,2,6,10,20,1.0,1.05,1.86,9,17,4,19.0,47.6,52.4,178,300,61,101,34.3,76,129,321,306,64,2,LLDWD,5,1446,4.37,6.94,1,5,3,12
16,Santa Clara,21,4,5,12,16,26,-10,17,0.81,11,3,2,6,9,12,1.0,10,1,3,6,7,14,0.6,0.76,1.24,7,12,5,23.8,38.1,33.3,259,197,74,77,28.6,100,83,308,318,64,3,DLLLL,1,1400,3.04,4.08,3,8,1,9
17,Tondela,21,3,5,13,14,35,-21,14,0.67,10,1,3,6,6,13,0.6,11,2,2,7,8,22,0.73,0.67,1.67,6,14,3,14.3,33.3,57.1,218,285,71,115,32.6,76,124,307,242,56,3,LLLDD,2,1404,5.58,5.59,1,3,2,15
18,AVS,21,0,5,16,15,54,-39,5,0.24,11,0,3,8,7,23,0.27,10,0,2,8,8,31,0.2,0.71,2.57,6,24,0,0.0,47.6,66.7,227,302,65,115,28.6,71,110,294,255,48,4,LLDLL,1,1329,4.74,9.16,0,0,0,21
