Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,Hearts,26,17,6,3,48,20,28,57,2.19,13,9,4,0,26,9,2.38,13,8,2,3,22,11,2.0,1.85,0.77,19,11,13,50.0,42.3,50.0,369,256,137,80,37.1,140,115,289,362,46,3,WDWLW,10,1622,1.83,2.39,14,8,3,1
2,Rangers,26,14,10,2,43,19,24,52,2.0,13,8,4,1,22,9,2.15,13,6,6,1,21,10,1.85,1.65,0.73,18,8,11,42.3,53.8,46.2,413,283,153,102,37.0,170,110,311,347,52,1,WWDWD,11,1635,1.6,2.04,13,10,1,2
3,Celtic,25,16,3,6,45,24,21,51,2.04,13,10,1,2,29,9,2.38,12,6,2,4,16,15,1.67,1.8,0.96,22,8,12,48.0,44.0,60.0,419,215,141,80,33.7,172,91,302,230,42,1,WWDWW,13,1596,1.26,1.59,16,9,0,0
4,Motherwell,25,11,11,3,38,18,20,44,1.76,13,8,4,1,23,6,2.15,12,3,7,2,15,12,1.33,1.52,0.72,17,5,13,52.0,44.0,32.0,322,267,119,93,37.0,94,109,294,387,33,0,WDWWD,11,1586,2.69,3.71,9,4,2,9
5,Hibernian,26,10,9,7,41,31,10,39,1.5,13,6,5,2,25,14,1.77,13,4,4,5,16,17,1.23,1.58,1.19,19,15,7,26.9,53.8,53.8,349,298,132,103,37.8,137,135,295,325,43,1,DLDWL,5,1538,2.15,3.12,8,9,2,7
6,Falkirk,26,11,6,9,30,32,-2,39,1.5,13,5,5,3,18,14,1.54,13,6,1,6,12,18,1.46,1.15,1.23,11,18,8,30.8,42.3,50.0,325,316,102,116,31.4,123,124,319,345,56,0,LWLWW,9,1528,2.79,4.87,5,4,6,10
7,Aberdeen,24,8,4,12,26,33,-7,28,1.17,12,4,4,4,19,15,1.33,12,4,0,8,7,18,1.0,1.08,1.38,10,14,6,25.0,33.3,33.3,296,356,97,115,32.8,121,127,344,298,57,3,LLLWL,3,1453,2.8,3.5,6,8,2,8
8,Dundee United,24,5,10,9,30,40,-10,25,1.04,12,3,4,5,13,18,1.08,12,2,6,4,17,22,1.0,1.25,1.67,13,21,3,12.5,58.3,50.0,304,404,106,126,34.9,107,133,313,247,56,3,WLLLL,3,1450,3.2,4.64,1,5,4,14
9,St Mirren,25,5,8,12,21,35,-14,23,0.92,13,4,5,4,8,10,1.31,12,1,3,8,13,25,0.5,0.84,1.4,7,11,7,28.0,40.0,32.0,313,320,92,112,29.4,146,132,321,217,50,2,LDDWL,5,1424,2.83,4.54,3,9,2,11
10,Dundee,25,6,5,14,19,38,-19,23,0.92,11,5,1,5,14,16,1.45,14,1,4,9,5,22,0.5,0.76,1.52,11,19,5,20.0,36.0,44.0,239,390,72,131,30.1,81,161,232,329,34,1,WLLDL,4,1436,4.79,7.83,0,1,6,18
11,Kilmarnock,26,4,8,14,28,51,-23,20,0.77,13,3,3,7,15,22,0.92,13,1,5,7,13,29,0.62,1.08,1.96,15,19,5,19.2,57.7,65.4,283,392,99,147,35.0,115,147,339,323,56,3,DLWLW,7,1406,3.67,5.88,0,4,4,18
12,Livingston,26,1,8,17,26,54,-28,11,0.42,13,1,4,8,16,25,0.54,13,0,4,9,10,29,0.31,1.0,2.08,12,25,1,3.8,69.2,65.4,244,379,89,134,36.5,121,143,375,324,68,2,DLLLL,1,1327,3.54,6.83,1,4,0,21
