Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,St Johnstone,23,13,7,3,45,20,25,46,2.0,13,7,5,1,26,9,2.0,10,6,2,2,19,11,2.0,1.96,0.87,22,10,11,47.8,47.8,60.9,319,120,130,52,40.8,182,71,277,269,45,1,WDWLD,8,1579,1.51,1.95,12,10,1,0
2,Partick,24,12,8,4,37,28,9,44,1.83,12,9,3,0,23,10,2.5,12,3,5,4,14,18,1.17,1.54,1.17,18,14,7,29.2,62.5,50.0,272,214,119,82,43.8,149,122,229,262,44,0,DWLWD,8,1569,1.92,2.67,9,8,3,4
3,Arbroath,24,10,7,7,32,30,2,37,1.54,11,5,5,1,17,12,1.82,13,5,2,6,15,18,1.31,1.33,1.25,10,11,4,16.7,58.3,50.0,222,234,84,93,37.8,118,109,259,318,40,1,DLWDL,5,1526,2.88,4.15,3,5,7,9
4,Ayr,23,7,11,5,30,27,3,32,1.39,11,3,5,3,14,14,1.27,12,4,6,2,16,13,1.5,1.3,1.17,21,11,6,26.1,65.2,39.1,221,200,93,89,42.1,124,111,274,258,53,3,WDDLW,8,1522,2.02,2.8,4,11,3,5
5,Dunfermline,22,8,5,9,29,24,5,29,1.32,11,3,3,5,12,14,1.09,11,5,2,4,17,10,1.55,1.32,1.09,15,14,9,40.9,36.4,40.9,192,186,88,81,45.8,108,110,235,268,49,3,DLWWL,7,1493,2.34,3.56,4,9,4,5
6,Raith Rvs,24,7,7,10,28,26,2,28,1.17,12,5,2,5,22,15,1.42,12,2,5,5,6,11,0.92,1.17,1.08,11,14,11,45.8,33.3,37.5,215,211,90,85,41.9,137,96,265,222,51,2,LDLWL,4,1456,1.94,2.82,6,12,1,5
7,Morton,23,5,11,7,23,30,-7,26,1.13,11,3,5,3,10,13,1.27,12,2,6,4,13,17,1.0,1.0,1.3,10,13,4,17.4,60.9,39.1,189,270,71,99,37.6,103,139,290,276,55,0,LDLDW,5,1486,3.0,4.17,2,1,2,17
8,Airdrie Utd,24,5,8,11,20,32,-12,23,0.96,12,1,5,6,7,17,0.67,12,4,3,5,13,15,1.25,0.83,1.33,6,15,7,29.2,41.7,41.7,172,233,69,96,40.1,86,165,250,227,56,2,DDDLW,6,1461,3.37,4.88,0,3,5,16
9,Ross County,23,5,7,11,23,38,-15,22,0.96,12,3,2,7,14,20,0.92,11,2,5,4,9,18,1.0,1.0,1.65,10,14,6,26.1,47.8,52.2,237,250,79,110,33.3,111,127,271,249,54,1,DWWLW,10,1457,2.27,2.84,3,11,2,6
10,Queens Park,22,4,9,9,23,35,-12,21,0.95,11,2,5,4,9,12,1.0,11,2,4,5,14,23,0.91,1.05,1.59,11,18,5,22.7,63.6,54.5,130,251,59,95,45.4,62,130,235,236,53,1,WDLWL,7,1450,3.89,5.6,0,2,4,16
