Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,Inverness C,23,15,4,4,42,15,27,49,2.13,11,9,1,1,26,6,2.55,12,6,3,3,16,9,1.75,1.83,0.65,18,7,14,60.9,34.8,47.8,315,133,135,50,42.9,167,53,259,252,34,0,DWWDW,11,1604,1.47,1.71,15,8,0,0
2,Stenhousemuir,23,11,8,4,32,18,14,41,1.78,12,6,5,1,21,9,1.92,11,5,3,3,11,9,1.64,1.39,0.78,13,9,11,47.8,39.1,39.1,188,191,98,83,52.1,91,95,312,318,62,1,DWWWD,11,1570,2.45,2.76,7,6,4,5
3,Queen of Sth,24,11,6,7,38,30,8,39,1.62,12,7,3,2,23,13,2.0,12,4,3,5,15,17,1.25,1.58,1.25,15,12,7,29.2,54.2,54.2,253,244,109,108,43.1,85,119,301,307,60,0,LWWDD,8,1554,2.41,3.09,7,5,4,8
4,Hamilton,22,11,5,6,38,23,15,38,1.73,10,7,1,2,18,6,2.2,12,4,4,4,20,17,1.33,1.73,1.05,17,10,10,45.5,45.5,59.1,211,213,106,97,50.2,90,102,234,210,41,0,WLWWD,10,1551,2.02,2.52,8,10,3,1
5,Alloa,23,9,7,7,30,19,11,34,1.48,12,5,5,2,18,9,1.67,11,4,2,5,12,10,1.27,1.3,0.83,13,6,9,39.1,39.1,39.1,209,204,108,83,51.7,105,114,256,298,47,1,DDWLD,6,1501,2.3,2.88,7,7,1,7
6,Montrose,22,8,4,10,27,38,-11,28,1.27,11,5,1,5,13,20,1.45,11,3,3,5,14,18,1.09,1.23,1.73,14,18,3,13.6,54.5,63.6,176,245,70,115,39.8,75,100,269,258,46,2,LWLWD,7,1496,2.95,3.46,3,3,5,11
7,Peterhead,22,8,4,10,31,43,-12,28,1.27,11,5,2,4,21,20,1.55,11,3,2,6,10,23,1.0,1.41,1.95,18,18,2,9.1,63.6,77.3,203,189,81,95,39.9,107,91,281,325,47,1,WLLDD,5,1473,2.4,3.14,7,4,1,10
8,East Fife,23,7,4,12,23,41,-18,25,1.09,12,4,2,6,12,17,1.17,11,3,2,6,11,24,1.0,1.0,1.78,9,21,4,17.4,52.2,52.2,208,208,90,101,43.3,104,115,283,244,45,3,LLLLL,0,1421,2.5,3.59,5,5,2,11
9,Cove Rangers,23,4,7,12,24,30,-6,19,0.83,11,1,4,6,7,14,0.64,12,3,3,6,17,16,1.0,1.04,1.3,10,16,5,21.7,39.1,39.1,213,229,99,109,46.5,113,105,288,228,55,1,WDLDD,6,1449,3.09,3.28,1,5,3,14
10,Kelty Hearts,23,3,5,15,20,48,-28,14,0.61,12,0,3,9,5,27,0.25,11,3,2,6,15,21,1.0,0.87,2.09,12,22,3,13.0,52.2,65.2,153,273,75,130,49.0,78,121,243,286,59,4,WDLLD,5,1381,3.68,5.84,0,0,3,20
