Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,Spartans,22,12,5,5,39,26,13,41,1.86,10,5,1,4,10,12,1.6,12,7,4,1,29,14,2.08,1.77,1.18,19,17,6,27.3,63.6,54.5,229,170,109,73,47.6,105,92,174,251,35,1,WWLWD,10,1568,1.91,2.45,8,9,4,1
2,East Kilbride,23,11,5,7,41,34,7,38,1.65,12,5,3,4,21,19,1.5,11,6,2,3,20,15,1.82,1.78,1.48,29,19,6,26.1,60.9,65.2,261,216,105,114,40.2,154,103,328,300,64,4,WLLWW,9,1533,1.66,1.95,11,11,0,1
3,Clyde,22,7,12,3,34,22,12,33,1.5,12,4,6,2,14,12,1.5,10,3,6,1,20,10,1.5,1.55,1.0,15,14,6,27.3,72.7,45.5,254,210,115,74,45.3,110,111,276,195,52,1,DDWDD,7,1542,2.03,2.68,6,9,1,5
4,Edinburgh City,23,8,7,8,36,43,-7,31,1.35,12,1,4,7,17,31,0.58,11,7,3,1,19,12,2.18,1.57,1.87,19,18,2,8.7,87.0,69.6,230,194,112,100,48.7,97,123,281,267,60,0,DLDWL,5,1486,2.27,2.97,3,7,5,8
5,Stranraer,23,7,9,7,31,28,3,30,1.3,11,2,5,4,12,15,1.0,12,5,4,3,19,13,1.58,1.35,1.22,19,10,4,17.4,65.2,47.8,248,287,106,106,42.7,117,144,229,299,46,2,DDWDD,7,1526,2.75,4.12,1,6,6,10
6,Forfar,23,7,6,10,33,37,-4,27,1.17,12,5,3,4,19,17,1.5,11,2,3,6,14,20,0.82,1.43,1.61,20,15,6,26.1,56.5,56.5,202,241,88,101,43.6,79,129,256,305,57,1,DDLLW,5,1460,2.34,3.35,6,4,1,11
7,Annan Athletic,22,6,9,7,28,32,-4,27,1.23,11,4,5,2,19,20,1.55,11,2,4,5,9,12,0.91,1.27,1.45,11,17,4,18.2,59.1,45.5,205,226,79,89,38.5,118,110,228,297,51,0,DDDDW,7,1504,2.52,3.12,2,6,4,10
8,Stirling,22,7,6,9,30,37,-7,27,1.23,11,1,5,5,11,19,0.73,11,6,1,4,19,18,1.73,1.36,1.68,11,20,3,13.6,68.2,59.1,229,292,102,130,44.5,120,135,267,197,50,2,WWLWD,10,1495,3.09,4.16,1,2,6,13
9,Elgin,21,5,8,8,31,33,-2,23,1.1,10,4,2,4,18,15,1.4,11,1,6,4,13,18,0.82,1.48,1.57,8,14,4,19.0,66.7,52.4,248,197,104,92,41.9,123,122,239,235,45,1,LLDDD,3,1475,2.29,2.84,4,7,1,9
10,Dumbarton,23,6,5,12,32,43,-11,23,1.0,11,3,2,6,15,19,1.0,12,3,3,6,17,24,1.0,1.39,1.87,15,22,1,4.3,78.3,65.2,173,246,68,109,39.3,151,105,281,213,37,1,LDLLL,1,1411,2.27,3.38,2,6,4,11
