Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,Barcelona,23,19,1,3,63,23,40,58,2.52,11,11,0,0,34,5,3.0,12,8,1,3,29,18,2.08,2.74,1.0,28,17,9,39.1,60.9,82.6,467,219,173,86,37.0,173,99,212,280,33,2,WLWWW,12,1671,1.27,1.66,19,3,0,1
2,Real Madrid,23,18,3,2,49,18,31,57,2.48,11,10,0,1,25,7,2.73,12,8,3,1,24,11,2.25,2.13,0.78,21,5,11,47.8,47.8,56.5,435,230,164,70,37.7,150,83,230,322,39,5,WWWWW,15,1665,1.33,1.62,18,5,0,0
3,Ath Madrid,23,13,6,4,38,18,20,45,1.96,12,10,1,1,26,8,2.58,11,3,5,3,12,10,1.27,1.65,0.78,18,8,10,43.5,47.8,39.1,304,238,127,64,41.8,159,86,265,224,42,2,DWWDL,8,1578,1.52,2.07,12,9,1,1
4,Villarreal,22,14,3,5,43,24,19,45,2.05,12,9,1,2,27,10,2.33,10,5,2,3,16,14,1.7,1.95,1.09,19,7,7,31.8,50.0,54.5,268,286,100,78,37.3,91,101,277,249,51,3,WLLDW,7,1590,1.95,2.98,14,3,0,5
5,Betis,23,10,8,5,37,28,9,38,1.65,11,7,1,3,22,12,2.0,12,3,7,2,15,16,1.33,1.61,1.22,14,15,8,34.8,60.9,47.8,338,292,112,101,33.1,106,126,238,312,42,1,DWLWW,10,1560,2.29,3.28,9,6,1,7
6,Espanol,23,10,4,9,27,31,-4,34,1.48,12,6,1,5,14,16,1.58,11,4,3,4,13,15,1.36,1.17,1.35,8,13,7,30.4,52.2,47.8,297,285,99,99,33.3,105,106,303,292,48,2,DLLLL,1,1486,2.91,4.69,6,4,4,9
7,Celta,23,8,9,6,30,25,5,33,1.43,12,3,5,4,17,15,1.17,11,5,4,2,13,10,1.73,1.3,1.09,9,11,7,30.4,60.9,34.8,247,277,91,94,36.8,96,108,269,282,46,1,WWLDL,7,1517,2.53,3.51,4,9,4,5
8,Sociedad,23,8,7,8,33,31,2,31,1.35,12,6,2,4,21,17,1.67,11,2,5,4,12,14,1.0,1.43,1.35,13,14,1,4.3,82.6,56.5,300,299,113,89,37.7,134,105,341,277,48,3,WWWDW,13,1522,2.76,3.82,7,6,1,9
9,Osasuna,23,8,5,10,28,28,0,29,1.26,11,6,3,2,20,13,1.91,12,2,2,8,8,15,0.67,1.22,1.22,16,7,5,21.7,47.8,43.5,255,293,83,111,32.5,74,107,302,263,55,4,LWWDW,10,1496,2.38,5.62,6,3,2,12
10,Ath Bilbao,23,8,4,11,25,33,-8,28,1.22,12,6,2,4,15,14,1.67,11,2,2,7,10,19,0.73,1.09,1.43,13,12,5,21.7,47.8,43.5,331,227,104,99,31.4,129,94,308,283,53,5,DLLDW,5,1456,2.02,3.04,7,10,1,5
