Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,Santander,25,14,5,6,51,33,18,47,1.88,13,8,2,3,30,16,2.0,12,6,3,3,21,17,1.75,2.04,1.32,17,19,6,24.0,72.0,68.0,346,312,134,105,38.7,148,126,333,381,72,3,LWWLW,9,1567,1.84,3.12,11,6,3,5
2,Castellon,25,13,6,6,42,25,17,45,1.8,12,8,2,2,26,14,2.17,13,5,4,4,16,11,1.46,1.68,1.0,21,9,9,36.0,48.0,48.0,363,244,122,85,33.6,160,94,354,346,72,5,DWDWW,11,1592,1.68,2.82,11,7,2,5
3,La Coruna,25,12,7,6,40,27,13,43,1.72,12,5,4,3,17,13,1.58,13,7,3,3,23,14,1.85,1.6,1.08,18,11,7,28.0,56.0,56.0,316,337,113,100,35.8,116,102,289,326,65,1,DWLWW,10,1559,1.87,2.98,8,9,4,4
4,Almeria,25,12,6,7,47,36,11,42,1.68,12,7,2,3,28,19,1.92,13,5,4,4,19,17,1.46,1.88,1.44,22,12,6,24.0,72.0,72.0,387,325,146,126,37.7,126,101,353,338,72,2,DLLWW,7,1541,1.72,2.62,11,10,1,3
5,Malaga,25,12,5,8,38,29,9,41,1.64,13,8,4,1,26,13,2.15,12,4,1,7,12,16,1.08,1.52,1.16,17,10,5,20.0,60.0,60.0,324,329,128,117,39.5,104,115,310,310,58,4,WWWLW,12,1560,2.27,4.06,6,6,6,7
6,Las Palmas,25,10,10,5,29,20,9,40,1.6,13,6,4,3,18,10,1.69,12,4,6,2,11,10,1.5,1.16,0.8,18,9,9,36.0,52.0,36.0,289,270,99,77,34.3,101,87,321,422,54,5,DLLDD,3,1538,1.82,3.0,7,10,3,5
7,Burgos,25,11,6,8,28,24,4,39,1.56,13,6,4,3,14,9,1.69,12,5,2,5,14,15,1.42,1.12,0.96,12,11,8,32.0,44.0,40.0,248,299,74,93,29.8,93,113,345,371,68,1,WWLWD,10,1528,2.25,3.85,7,7,4,7
8,Sp Gijon,25,12,3,10,35,33,2,39,1.56,13,7,3,3,20,15,1.85,12,5,0,7,15,18,1.25,1.4,1.32,15,12,8,32.0,56.0,52.0,292,312,118,116,40.4,121,133,299,269,65,6,LWWLW,9,1512,2.01,3.26,9,8,3,5
9,Cordoba,24,10,8,6,32,27,5,38,1.58,12,5,3,4,16,14,1.5,12,5,5,2,16,13,1.67,1.33,1.12,14,12,7,29.2,66.7,54.2,360,261,123,100,34.2,124,107,373,352,68,3,WWLWW,12,1555,2.13,3.17,7,7,3,7
10,Ceuta,24,10,5,9,30,34,-4,35,1.46,12,8,1,3,17,12,2.08,12,2,4,6,13,22,0.83,1.25,1.42,16,21,7,29.2,54.2,54.2,274,289,93,114,33.9,108,115,332,320,61,2,WLLWL,6,1514,2.53,4.41,7,3,3,11
11,Cadiz,25,9,7,9,27,29,-2,34,1.36,13,6,2,5,16,15,1.54,12,3,5,4,11,14,1.17,1.08,1.16,11,14,9,36.0,48.0,48.0,271,359,83,99,30.6,129,146,355,308,73,2,WLLLL,3,1474,2.35,3.83,5,5,4,11
12,Albacete,25,9,6,10,31,36,-5,33,1.32,12,5,1,6,14,19,1.33,13,4,5,4,17,17,1.31,1.24,1.44,7,16,11,44.0,52.0,48.0,338,325,112,105,33.1,128,134,271,265,51,4,DWWWL,10,1501,2.22,4.04,4,7,5,8
13,Leganes,25,8,8,9,27,25,2,32,1.28,12,4,3,5,12,11,1.25,13,4,5,4,15,14,1.31,1.08,1.0,13,8,9,36.0,44.0,40.0,283,284,104,89,36.7,114,115,319,371,71,4,WLWLW,9,1496,2.25,3.15,4,11,4,5
14,Eibar,25,8,8,9,26,27,-1,32,1.28,13,8,3,2,20,9,2.08,12,0,5,7,6,18,0.42,1.04,1.08,7,14,9,36.0,48.0,44.0,302,280,101,100,33.4,122,100,365,317,62,3,LDWWD,8,1497,2.05,3.51,8,7,0,10
