Pos,Team,PJ,G,E,P,GF,GC,GD,Pts,PPG,Home_PJ,Home_G,Home_E,Home_P,Home_GF,Home_GC,Home_PPG,Away_PJ,Away_G,Away_E,Away_P,Away_GF,Away_GC,Away_PPG,GPG,GCPG,1H_GF,1H_GC,Clean_Sheets,CS%,BTTS%,Over25%,Shots_F,Shots_A,SoT_F,SoT_A,Shot_Acc%,Corners_F,Corners_A,Fouls_F,Fouls_A,Yellow,Red,Form,Form_Pts,ELO,Avg_Odds_H,Avg_Odds_A,Wins_Fav,Losses_Fav,Wins_Dog,Losses_Dog
1,Galatasaray,21,16,4,1,50,14,36,52,2.48,11,8,3,0,27,9,2.45,10,8,1,1,23,5,2.5,2.38,0.67,21,5,9,42.9,52.4,66.7,369,209,126,68,34.1,109,76,259,227,38,2,WDWWW,13,1650,1.28,1.6,16,4,0,1
2,Fenerbahce,21,14,7,0,48,18,30,49,2.33,10,7,3,0,23,9,2.4,11,7,4,0,25,9,2.27,2.29,0.86,25,10,8,38.1,61.9,57.1,376,208,137,61,36.4,131,88,266,289,49,1,WWDWW,13,1654,1.36,1.63,14,7,0,0
3,Trabzonspor,21,13,6,2,41,23,18,45,2.14,10,6,4,0,19,8,2.2,11,7,2,2,22,15,2.09,1.95,1.1,16,14,7,33.3,61.9,52.4,331,291,122,83,36.9,90,104,258,302,35,3,LWWDW,10,1618,1.7,3.15,9,6,4,2
4,Goztep,21,11,7,3,27,12,15,40,1.9,10,6,3,1,14,5,2.1,11,5,4,2,13,7,1.73,1.29,0.57,11,4,12,57.1,38.1,33.3,284,267,94,75,33.1,96,108,369,193,53,3,WWDWD,11,1587,2.16,3.2,10,7,1,3
5,Besiktas,21,10,7,4,37,27,10,37,1.76,11,6,3,2,19,14,1.91,10,4,4,2,18,13,1.6,1.76,1.29,21,12,5,23.8,66.7,61.9,351,259,136,78,38.7,112,97,295,267,48,4,WWDWD,11,1561,1.62,2.33,10,7,0,4
6,Buyuksehyr,21,9,6,6,36,22,14,33,1.57,10,3,5,2,17,13,1.4,11,6,1,4,19,9,1.73,1.71,1.05,14,8,7,33.3,61.9,57.1,281,262,101,92,35.9,110,112,290,278,44,3,WWWDW,13,1552,2.47,2.85,8,6,1,6
7,Samsunspor,21,7,9,5,24,24,0,30,1.43,11,3,5,3,9,12,1.27,10,4,4,2,15,12,1.6,1.14,1.14,9,9,6,28.6,57.1,38.1,270,249,75,74,27.8,123,80,313,244,45,2,LDDWL,5,1507,2.18,3.38,6,8,1,6
8,Gaziantep,21,7,7,7,29,35,-6,28,1.33,11,4,3,4,15,19,1.36,10,3,4,3,14,16,1.3,1.38,1.67,16,16,4,19.0,61.9,66.7,283,298,91,108,32.2,103,101,280,353,63,4,LDDLW,5,1485,2.94,4.98,4,4,3,10
9,Kocaelispor,21,7,6,8,18,22,-4,27,1.29,11,5,3,3,10,8,1.64,10,2,3,5,8,14,0.9,0.86,1.05,8,7,7,33.3,42.9,28.6,218,240,71,60,32.6,92,88,311,310,48,2,WLDLW,7,1503,2.84,4.83,5,5,2,9
10,Alanyaspor,21,4,11,6,22,24,-2,23,1.1,10,3,3,4,9,9,1.2,11,1,8,2,13,15,1.0,1.05,1.14,11,7,7,33.3,57.1,38.1,263,237,82,89,31.2,99,78,260,316,49,1,WLDLD,5,1473,3.01,4.14,1,7,3,10
11,Genclerbirligi,21,6,4,11,26,31,-5,22,1.05,10,5,2,3,17,14,1.7,11,1,2,8,9,17,0.45,1.24,1.48,11,15,3,14.3,66.7,61.9,232,323,75,93,32.3,87,112,276,294,47,5,WDLWL,7,1465,3.49,6.69,3,2,3,13
12,Konyaspor,21,4,8,9,24,33,-9,20,0.95,11,2,5,4,12,14,1.0,10,2,3,5,12,19,0.9,1.14,1.57,10,17,3,14.3,71.4,52.4,294,269,89,84,30.3,112,98,253,286,49,1,DDDLD,4,1437,2.13,5.2,3,8,1,9
13,Rizespor,21,4,8,9,24,33,-9,20,0.95,11,3,2,6,10,17,1.0,10,1,6,3,14,16,0.9,1.14,1.57,11,11,5,23.8,57.1,52.4,261,311,71,102,27.2,79,100,295,262,52,2,LLDDL,2,1447,2.72,4.42,4,5,0,12
14,Antalyaspor,21,5,5,11,19,34,-15,20,0.95,10,2,2,6,12,24,0.8,11,3,3,5,7,10,1.09,0.9,1.62,9,18,5,23.8,57.1,52.4,173,300,68,103,39.3,85,119,266,329,51,2,LDWDL,5,1431,3.66,5.04,0,2,5,14
15,Eyupspor,21,4,6,11,17,30,-13,18,0.86,11,2,4,5,10,17,0.91,10,2,2,6,7,13,0.8,0.81,1.43,4,12,3,14.3,47.6,42.9,240,305,79,109,32.9,79,122,246,311,47,0,LDDWL,5,1432,4.34,4.64,2,4,2,13
16,Kasimpasa,21,3,7,11,16,29,-13,16,0.76,10,0,5,5,6,13,0.5,11,3,2,6,10,16,1.0,0.76,1.38,6,16,5,23.8,52.4,42.9,219,255,53,85,24.2,107,90,325,281,48,3,LDLLL,1,1409,3.31,4.28,1,5,2,13
17,Kayserispor,21,2,9,10,17,43,-26,15,0.71,10,1,3,6,7,23,0.6,11,1,6,4,10,20,0.82,0.81,2.05,2,17,2,9.5,57.1,52.4,242,317,79,123,32.6,101,100,276,281,58,2,DLLLL,1,1412,3.46,6.19,1,2,1,17
18,Karagumruk,21,3,3,15,18,39,-21,12,0.57,11,2,2,7,10,19,0.73,10,1,1,8,8,20,0.4,0.86,1.86,9,16,2,9.5,47.6,47.6,227,314,63,125,27.8,78,120,298,313,45,2,LLLLW,3,1379,3.65,7.22,1,2,2,16
