betfair_slug,football_data_name,league,confidence
ac-milán,Milan,I1,1.0
afc-wimbledon,AFC Wimbledon,E2,1.0
agf,,,1.0
ajax,Ajax,N1,1.0
alanyaspor,Alanyaspor,T1,1.0
alavés,Alaves,SP1,1.0
albirex-niigata,,,1.0
america-de-cali-sa,,,1.0
anorthosis,,,1.0
arema-cronus,,,1.0
arminia-bielefeld,Bielefeld,D2,1.0
arsenal,Arsenal,E0,1.0
aston-villa-femenino,,,1.0
atalanta,Atalanta,I1,1.0
athletic-de-bilbao,Ath Bilbao,SP1,1.0
athletico-pr,,,1.0
atl-tucuman,,,1.0
atlas,,,1.0
atletico-nacional-medellin,,,1.0
atletico-san-luis,,,1.0
atlético-de-madrid,Ath Madrid,SP1,1.0
b-mönchengladbach-apuesta,M'gladbach,D1,1.0
barnet,Barnet,E3,1.0
barnsley,Barnsley,E2,1.0
barrow,Barrow,E3,1.0
bayern-múnich,Bayern Munich,D1,1.0
belgrano,,,1.0
beroe-stara-za,,,1.0
birmingham,Birmingham,E1,1.0
blackpool,Blackpool,E2,1.0
blaublitz-akita,,,1.0
bochum,Bochum,D2,1.0
borussia-dortmund,Dortmund,D1,1.0
botafogo-fr,,,1.0
braunschweig,Braunschweig,D2,1.0
brentford,Brentford,E0,1.0
brighton,Brighton,E0,1.0
bromley,Bromley,E3,1.0
burton-albion,Burton,E2,1.0
celta-de-vigo,Celta,SP1,1.0
charleroi,Charleroi,B1,1.0
chelsea,Chelsea,E0,1.0
chelsea-femenino,,,1.0
cheltenham,Cheltenham,E3,1.0
cherno-more-varna,,,1.0
club-brugge,Club Brugge,B1,1.0
colchester,Colchester,E3,1.0
como,Como,I1,1.0
cordoba,Cordoba,SP2,1.0
corinthians,,,1.0
cska-1948-sofia,,,1.0
cska-sofía,,,1.0
círculo-brujas,Cercle Brugge,B1,1.0
darmstadt,Darmstadt,D2,1.0
defensor-sp,,,1.0
deportivo-pasto,,,1.0
digenis-ypsona,,,1.0
dynamo-dresden,Dresden,D2,1.0
ehime,,,1.0
eintracht-frankfurt,Ein Frankfurt,D1,1.0
elche,Elche,SP1,1.0
elversberg,Elversberg,D2,1.0
espanyol,Espanol,SP1,1.0
estrela,Estrela,P1,1.0
estudiantes-rio-cuarto,,,1.0
everton-femenino,,,1.0
eyupspor,Eyupspor,T1,1.0
fc-barcelona,Barcelona,SP1,1.0
fc-basel,,,1.0
fc-copenague,,,1.0
fc-gifu,,,1.0
fc-groningen,Groningen,N1,1.0
fc-juarez,,,1.0
fc-magdeburg,Magdeburg,D2,1.0
fc-nordsjaelland,,,1.0
fc-osaka,,,1.0
fc-ryukyu,,,1.0
fc-zurich,FC Zurich,,1.0
fenerbahce,Fenerbahce,T1,1.0
feyenoord,Feyenoord,N1,1.0
fiorentina,Fiorentina,I1,1.0
fluminense,,,1.0
fortaleza,,,1.0
