match,total_rows,final_goals_l,final_goals_v,final_total_goals,final_xg_l,final_xg_v
ajax-fortuna-sittard-apuestas-35216599,29,4.0,1.0,5.0,1.1098,0.839
al-ahli-al-ahli-uae-apuestas-35269087,71,4.0,3.0,7.0,2.7597,0.9011
al-gharafa-tractor-sazi-fc-apuestas-35277632,43,0.0,0.0,0.0,,
al-hilal-al-wahda-abu-dhabi-apuestas-35269089,85,2.0,1.0,3.0,1.4566,0.7146
al-sadd-al-ittihad-apuestas-35273530,37,1.0,3.0,4.0,0.9592,1.0214
al-sharjah-nasaf-apuestas-35269093,63,1.0,2.0,3.0,1.5507,0.7848
alanyaspor-konyaspor-apuestas-35242067,70,2.0,1.0,3.0,1.8504,0.5257
albacete-sporting-de-gij%C3%B3n-apuestas-35245273,49,1.0,1.0,2.0,1.1952,1.7805
albion-fc-cerro-apuestas-35242273,77,3.0,0.0,3.0,0.0,0.0
amberes-westerlo-apuestas-35245449,56,0.0,2.0,2.0,0.5068,1.0109
america-de-cali-sa-santa-fe-apuestas-35238051,65,1.0,0.0,1.0,1.3992,0.758
anderlecht-raal-la-louviere-apuestas-35245267,51,0.0,0.0,0.0,0.778,0.8397
anorthosis-digenis-ypsona-apuestas-35247517,33,1.0,1.0,2.0,0.0,0.0
arema-cronus-semen-padang-apuestas-35243387,69,3.0,0.0,3.0,0.0,0.0
arsenal-wigan-apuestas-35172745,39,4.0,0.0,4.0,2.2679,0.3567
aston-villa-femenino-tottenham-femenino-apuestas-3,51,3.0,7.0,10.0,,
athletico-pr-santos-apuestas-35207628,80,2.0,1.0,3.0,2.1193,0.7116
atl%C3%A9tico-de-madrid-fc-barcelona-apuestas-3523,64,4.0,0.0,4.0,2.7748,1.0397
atl-tucuman-estudiantes-rio-cuarto-apuestas-352251,48,4.0,0.0,4.0,,
atromitos-panserraikos-apuestas-35216936,55,2.0,1.0,3.0,1.3745,0.6748
augsburgo-heidenheim-apuestas-35217437,58,1.0,0.0,1.0,1.9076,0.9654
avs-futebol-sad-estoril-apuestas-35247005,45,2.0,0.0,2.0,0.6796,1.0386
barnet-cheltenham-apuestas-35240972,118,0.0,0.0,0.0,1.3463,0.2153
barnsley-afc-wimbledon-apuestas-35240943,75,3.0,3.0,6.0,,
barrow-colchester-apuestas-35240977,64,1.0,0.0,1.0,,
basaksehir-besiktas-apuestas-35245192,50,2.0,3.0,5.0,1.4747,2.526
birmingham-leeds-apuestas-35172769,54,1.0,1.0,2.0,1.1055,0.6658
blackpool-plymouth-apuestas-35240940,31,0.0,4.0,4.0,0.2157,2.805
boca-juniors-ca-platense-apuestas-35225060,38,0.0,0.0,0.0,,
bochum-paderborn-apuestas-35243479,52,0.0,0.0,0.0,1.9121,0.389
botafogo-sp-capivariano-sp-apuestas-35245279,61,0.0,0.0,0.0,1.4433,0.2899
botev-vratsa-dobrudzha-apuestas-35243307,59,0.0,0.0,0.0,0.0,0.0
braunschweig-darmstadt-apuestas-35243475,131,2.0,2.0,4.0,1.9328,1.3703
brentford-arsenal-apuestas-35212180,63,1.0,1.0,2.0,1.2896,0.6003
bromley-notts-county-apuestas-35240974,28,1.0,1.0,2.0,0.9375,1.4288
buriram-utd-shanghai-shenhua-apuestas-35273390,67,2.0,0.0,2.0,1.7959,0.7307
burton-albion-west-ham-apuestas-35172777,134,0.0,0.0,0.0,0.4681,1.274
c%C3%ADrculo-brujas-club-brugge-apuestas-35245265,53,1.0,2.0,3.0,1.1235,0.9529
cagliari-lecce-apuestas-35216885,69,0.0,2.0,2.0,0.8183,1.1525
calcio-avellino-ssd-pescara-apuestas-35256329,49,0.0,1.0,1.0,0.645,0.6979
castell%C3%B3n-deportivo-la-coru%C3%B1a-apuestas-3,33,2.0,0.0,2.0,,
cd-nacional-funchal-oporto-apuestas-35246999,24,0.0,1.0,1.0,0.6082,0.4522
charleroi-gante-apuestas-35241421,28,2.0,3.0,5.0,1.2841,2.7591
chelsea-femenino-liverpool-femenino-apuestas-35244,47,2.0,0.0,2.0,1.4672,0.3868
colo-colo-uni%C3%B3n-la-calera-apuestas-35244756,70,0.0,0.0,0.0,1.1827,0.3462
como-fiorentina-apuestas-35215940,68,1.0,2.0,3.0,0.8403,1.4929
cordoba-legan%C3%A9s-apuestas-35244310,100,2.0,1.0,3.0,2.3345,1.2793
corinthians-red-bull-bragantino-apuestas-35207556,46,2.0,0.0,2.0,0.7746,1.2381
coventry-middlesbrough-apuestas-35239500,87,3.0,1.0,4.0,1.7928,1.1383
cska-1948-sofia-cska-sof%C3%ADa-apuestas-35239870,104,0.0,2.0,2.0,0.0,0.0
deportivo-pasto-internacional-de-bogot%C3%A1-apues,56,1.0,1.0,2.0,,
deportivo-riestra-newells-apuestas-35225053,85,1.0,1.0,2.0,,
dynamo-dresden-elversberg-apuestas-35241337,34,1.0,3.0,4.0,0.662,1.1927
ehime-kanazawa-apuestas-35265809,82,2.0,2.0,4.0,0.0,0.0
eibar-racing-de-santander-apuestas-35247511,21,2.0,1.0,3.0,1.6504,0.7395
eintracht-frankfurt-b-m%C3%B6nchengladbach-apuesta,65,3.0,0.0,3.0,1.8219,1.1757
elche-osasuna-apuestas-35216703,24,0.0,0.0,0.0,1.9034,0.7422
enppi-national-bank-apuestas-35255322,87,0.0,0.0,0.0,0.4996,0.2031
espanyol-celta-de-vigo-apuestas-35216696,61,2.0,2.0,4.0,0.7131,2.5676
esporte-clube-primavera-noroeste-bauru-apuestas-35,67,2.0,3.0,5.0,1.3305,0.6878
everton-femenino-west-ham-united-w-apuestas-352442,49,1.0,0.0,1.0,,
fc-basel-lugano-apuestas-35258541,20,1.0,1.0,2.0,,
fc-gifu-iwata-apuestas-35265818,86,2.0,1.0,3.0,0.0,0.0
fc-groningen-utrecht-apuestas-35216585,45,1.0,2.0,3.0,0.7825,2.4377
fc-juarez-necaxa-apuestas-35216583,57,1.0,2.0,3.0,,
fc-machida-chengdu-rongcheng-apuestas-35273391,88,3.0,2.0,5.0,2.2703,0.6975
fc-magdeburg-arminia-bielefeld-apuestas-35243485,48,0.0,2.0,2.0,1.5572,1.1407
fc-osaka-kochi-univ-apuestas-35265821,82,2.0,2.0,4.0,,
fc-seoul-hiroshima-apuestas-35273415,88,2.0,2.0,4.0,1.4195,2.0567
feyenoord-go-ahead-eagles-apuestas-35216541,38,1.0,0.0,1.0,2.7592,0.1059
fluminense-botafogo-fr-apuestas-35248598,49,1.0,0.0,1.0,1.6609,0.3233
fortuna-dusseldorf-preussen-munster-apuestas-35243,33,0.0,0.0,0.0,1.4249,0.6663
fredericia-agf-apuestas-35244425,50,1.0,1.0,2.0,0.9744,1.9308
galatasaray-eyupspor-apuestas-35243984,30,5.0,1.0,6.0,2.3938,0.8234
genclerbirligi-rizespor-apuestas-35242071,132,2.0,2.0,4.0,1.2095,1.7399
gimnasia-la-plata-estudiantes-apuestas-35225039,31,0.0,0.0,0.0,,
girona-fc-barcelona-apuestas-35216932,90,2.0,1.0,3.0,2.7586,2.8812
goztepe-kayserispor-apuestas-35247853,71,0.0,0.0,0.0,1.0527,0.9831
granada-valladolid-apuestas-35243577,48,5.0,1.0,6.0,2.7634,0.5226
grimsby-wolves-apuestas-35172760,55,0.0,1.0,1.0,1.1814,1.3349
hamburgo-uni%C3%B3n-berl%C3%ADn-apuestas-35217571,65,3.0,2.0,5.0,1.8208,2.1142
heerenveen-pec-zwolle-apuestas-35216590,54,4.0,2.0,6.0,1.5799,1.1261
hermannstadt-cfr-cluj-apuestas-35247993,58,0.0,1.0,1.0,1.7814,2.1449
hertha-berl%C3%ADn-hannover-apuestas-35243477,133,2.0,3.0,5.0,1.6087,2.7603
hoffenheim-friburgo-apuestas-35217452,59,3.0,0.0,3.0,1.7979,0.7084
huesca-ad-ceuta-fc-apuestas-35245274,18,2.0,0.0,2.0,0.8976,1.0223
hull-chelsea-apuestas-35172757,17,0.0,4.0,4.0,0.7299,1.6359
independiente-rivadavia-belgrano-apuestas-35225054,50,0.0,1.0,1.0,,
instituto-central-cordoba-sde-apuestas-35225059,45,2.0,0.0,2.0,,
inter-juventus-apuestas-35215842,34,2.0,1.0,3.0,1.1922,0.7797
internacional-se-palmeiras-apuestas-35224753,18,0.0,1.0,1.0,0.1512,0.1567
johor-darul-ta-zim-kobe-apuestas-35273414,90,1.0,0.0,1.0,1.0054,0.864
kagoshima-utd-fc-ryukyu-apuestas-35265797,81,3.0,1.0,4.0,0.0,0.0
kaiserslautern-greuther-f%C3%BCrth-apuestas-352413,130,1.0,0.0,1.0,1.776,0.7189
kamatamare-sanuki-toyama-apuestas-35265771,74,1.0,5.0,6.0,0.0,0.0
kasimpasa-fatih-karagumruk-istanbul-apuestas-35248,65,3.0,1.0,4.0,1.6165,0.7508
kiel-schalke-04-apuestas-35243480,50,1.0,2.0,3.0,1.3382,3.1233
kifisia-ofi-apuestas-35216900,22,2.0,2.0,4.0,2.177,0.9921
kilmarnock-celtic-apuestas-35257638,67,2.0,3.0,5.0,0.9353,2.9223
kocaelispor-gaziantep-fk-apuestas-35248519,46,3.0,0.0,3.0,2.2015,0.6491
koper-radomlje-apuestas-35245346,45,2.0,2.0,4.0,0.0,0.0
lausanne-servette-apuestas-35258538,21,3.0,3.0,6.0,2.3493,1.0876
lazio-atalanta-apuestas-35215830,24,0.0,2.0,2.0,0.9863,1.5251
le-havre-toulouse-apuestas-35216498,64,2.0,1.0,3.0,1.1615,2.531
leiria-porto-b-apuestas-35245372,50,2.0,1.0,3.0,0.0,0.0
leonesa-zaragoza-apuestas-35245893,43,0.0,0.0,0.0,1.8075,1.0795
levadiakos-olympiacos-apuestas-35216971,40,0.0,0.0,0.0,0.1564,1.9485
levante-valencia-apuestas-35216720,51,0.0,2.0,2.0,0.6258,0.6627
leverkusen-st-pauli-apuestas-35218089,54,4.0,0.0,4.0,1.2943,0.4866
liverpool-brighton-apuestas-35172770,45,3.0,0.0,3.0,1.8173,1.0067
liverpool-montevideo-defensor-sp-apuestas-35238332,74,1.0,2.0,3.0,0.0,0.0
lokomotiv-plovdiv-cherno-more-varna-apuestas-35243,67,1.0,1.0,2.0,0.0,0.0
lorient-angers-apuestas-35216803,39,2.0,0.0,2.0,0.9535,0.3256
ludogorets-razgrad-beroe-stara-za-apuestas-3524331,61,2.0,1.0,3.0,0.0,0.0
lyon-niza-apuestas-35216499,30,2.0,0.0,2.0,1.3217,1.2267
m%C3%B3naco-nantes-apuestas-35216672,23,3.0,2.0,5.0,1.5285,0.9251
macclesfield-brentford-apuestas-35172764,66,0.0,1.0,1.0,0.475,1.4874
mallorca-betis-apuestas-35216706,33,1.0,2.0,3.0,,
metz-auxerre-apuestas-35216502,39,0.0,3.0,3.0,0.8686,0.9117
mirand%C3%A9s-las-palmas-apuestas-35247639,49,1.0,0.0,1.0,0.155,0.951
mirassol-portuguesa-sp-apuestas-35245280,66,1.0,2.0,3.0,0.5671,0.749
mlada-boleslav-teplice-apuestas-35244135,61,0.0,0.0,0.0,0.3451,0.7272
modern-sport-fc-kahraba-ismailia-apuestas-35248915,69,1.0,1.0,2.0,1.5383,1.094
monterrey-leon-apuestas-35216584,53,1.0,0.0,1.0,,
motherwell-aberdeen-apuestas-35257642,61,2.0,0.0,2.0,1.8376,0.6763
n%C3%A1poles-roma-apuestas-35216887,28,2.0,2.0,4.0,0.5246,1.6107
n%C3%BAremberg-karlsruhe-apuestas-35243488,33,5.0,1.0,6.0,1.7749,1.5949
nk-bravo-nk-aluminij-apuestas-35247855,71,2.0,1.0,3.0,0.0,0.0
odense-midtjylland-apuestas-35244627,53,1.0,4.0,5.0,1.9661,3.0463
oita-kitakyushu-apuestas-35265820,79,2.0,0.0,2.0,0.0,0.0
olympiakos-nicosia-fc-omonia-fc-aradippou-apuestas,48,0.0,0.0,0.0,0.0,0.0
oviedo-athletic-de-bilbao-apuestas-35216603,49,1.0,2.0,3.0,0.2486,1.2015
oxford-united-sunderland-apuestas-35172773,57,0.0,1.0,1.0,0.5525,1.4914
palestino-universidad-de-chile-apuestas-35242276,92,0.0,0.0,0.0,0.2931,0.7767
